date,value
1975-03-31,1439.1
1975-06-30,1432.9
1975-09-30,1585.1
1975-12-31,1608.3
1976-03-31,1671.7
1976-06-30,1654.0
1976-09-30,1721.3
1976-12-31,1739.1
1977-03-31,1797.1
1977-06-30,1858.2
1977-09-30,1856.9
1977-12-31,1905.9
1978-03-31,1913.2
1978-06-30,2001.9
1978-09-30,2123.4
1978-12-31,2211.5
1979-03-31,2255.2
1979-06-30,2309.5
1979-09-30,2353.9
1979-12-31,2482.7
1980-03-31,2505.0
1980-06-30,2563.6
1980-09-30,2605.4
1980-12-31,2674.7
1981-03-31,2744.4
1981-06-30,2870.1
1981-09-30,2860.1
1981-12-31,2838.8
1982-03-31,2868.0
1982-06-30,2780.3
1982-09-30,2693.4
1982-12-31,2589.1
1983-03-31,2743.6
1983-06-30,2720.3
1983-09-30,2831.1
1983-12-31,2919.9
1984-03-31,3026.8
1984-06-30,3037.8
1984-09-30,3015.8
1984-12-31,2974.9
1985-03-31,2944.6
1985-06-30,2819.3
1985-09-30,2757.0
1985-12-31,2660.1
1986-03-31,2792.7
1986-06-30,2960.9
1986-09-30,3112.9
1986-12-31,3222.4
1987-03-31,3283.9
1987-06-30,3427.7
1987-09-30,3611.5
1987-12-31,3875.1
1988-03-31,4000.0
1988-06-30,4182.9
1988-09-30,4281.3
1988-12-31,4352.8
1989-03-31,4396.9
1989-06-30,4598.1
1989-09-30,4675.2
1989-12-31,4799.0
1990-03-31,4899.4
1990-06-30,4996.6
1990-09-30,5134.0
1990-12-31,5203.1
1991-03-31,5400.3
1991-06-30,5319.9
1991-09-30,5322.5
1991-12-31,5312.3
1992-03-31,5337.1
1992-06-30,5325.9
1992-09-30,5472.8
1992-12-31,5691.4
1993-03-31,5762.3
1993-06-30,5952.6
1993-09-30,6047.4
1993-12-31,6165.4
1994-03-31,6451.3
1994-06-30,6712.3
1994-09-30,6882.2
1994-12-31,6916.5
1995-03-31,6978.4
1995-06-30,7235.0
1995-09-30,7740.1
1995-12-31,7705.4
1996-03-31,7920.1
1996-06-30,7617.4
1996-09-30,7425.3
1996-12-31,7600.3
1997-03-31,7473.9
1997-06-30,7941.8
1997-09-30,8145.2
1997-12-31,8250.3
1998-03-31,7895.6
1998-06-30,7919.8
1998-09-30,7797.1
1998-12-31,8011.1
1999-03-31,8625.6
1999-06-30,8790.0
1999-09-30,9194.6
1999-12-31,9110.6
2000-03-31,9694.5
2000-06-30,9980.0
2000-09-30,10610.9
2000-12-31,10828.7
2001-03-31,9930.8
2001-06-30,9079.2
2001-09-30,8600.5
2001-12-31,8789.5
2002-03-31,9482.9
2002-06-30,10313.7
2002-09-30,9981.1
2002-12-31,9625.7
2003-03-31,10138.9
2003-06-30,9580.5
2003-09-30,10286.9
2003-12-31,10551.9
2004-03-31,11213.1
2004-06-30,11541.9
2004-09-30,11414.3
2004-12-31,12004.0
2005-03-31,11606.1
2005-06-30,12265.3
2005-09-30,12936.7
2005-12-31,13684.0
2006-03-31,13812.3
2006-06-30,13762.9
2006-09-30,14188.3
2006-12-31,14861.2
2007-03-31,14716.4
2007-06-30,14779.8
2007-09-30,15805.6
2007-12-31,14760.9
2008-03-31,16489.0
2008-06-30,13912.0
2008-09-30,14047.6
2008-12-31,13316.4
2009-03-31,12481.7
2009-06-30,13761.0
2009-09-30,15152.9
2009-12-31,13746.0
2010-03-31,17036.9
2010-06-30,19835.9
2010-09-30,17337.8
2010-12-31,17377.5
2011-03-31,20159.4
2011-06-30,18973.5
2011-09-30,19030.9
2011-12-31,19020.4
2012-03-31,19877.3
2012-06-30,19664.1
2012-09-30,18857.9
2012-12-31,18994.5
2013-03-31,18566.7
2013-06-30,19797.0
2013-09-30,19885.6
2013-12-31,20333.5
2014-03-31,20362.4
2014-06-30,20087.7
2014-09-30,20161.3
2014-12-31,20136.2
2015-03-31,19479.1
2015-06-30,19277.2
2015-09-30,18922.5
2015-12-31,18928.5
2016-03-31,19417.3
2016-06-30,19616.4
2016-09-30,19159.9
2016-12-31,21275.8
2017-03-31,21001.6
2017-06-30,21333.9
2017-09-30,22754.4
2017-12-31,22641.4
2018-03-31,23015.6
2018-06-30,23623.8
2018-09-30,23487.8
2018-12-31,23804.0
2019-03-31,22893.7
2019-06-30,23531.8
2019-09-30,23234.6
2019-12-31,22868.4
2020-03-31,24702.9
2020-06-30,23432.2
2020-09-30,25926.8
2020-12-31,25408.3
2021-03-31,27463.7
2021-06-30,27734.9
2021-09-30,28144.3
2021-12-31,29329.2
2022-03-31,29071.9
2022-06-30,29568.7
2022-09-30,28669.3
2022-12-31,28372.8
2023-03-31,27516.8
2023-06-30,27163.0
2023-09-30,27376.2
2023-12-31,28613.1
2024-03-31,27077.6
