date,value
1975-03-31,1164.5
1975-06-30,1187.3
1975-09-30,1213.5
1975-12-31,1215.6
1976-03-31,1217.4
1976-06-30,1244.1
1976-09-30,1242.5
1976-12-31,1256.9
1977-03-31,1257.3
1977-06-30,1263.4
1977-09-30,1272.2
1977-12-31,1288.6
1978-03-31,1326.5
1978-06-30,1340.6
1978-09-30,1382.4
1978-12-31,1421.8
1979-03-31,1391.8
1979-06-30,1434.7
1979-09-30,1452.2
1979-12-31,1453.8
1980-03-31,1483.1
1980-06-30,1494.7
1980-09-30,1516.5
1980-12-31,1549.8
1981-03-31,1567.5
1981-06-30,1572.9
1981-09-30,1571.6
1981-12-31,1626.9
1982-03-31,1629.1
1982-06-30,1708.5
1982-09-30,1761.9
1982-12-31,1816.4
1983-03-31,1812.3
1983-06-30,1850.7
1983-09-30,1887.4
1983-12-31,1909.0
1984-03-31,1939.7
1984-06-30,1977.6
1984-09-30,2002.5
1984-12-31,1956.8
1985-03-31,2049.8
1985-06-30,2040.7
1985-09-30,2048.0
1985-12-31,2087.5
1986-03-31,2125.6
1986-06-30,2141.5
1986-09-30,2196.5
1986-12-31,2250.6
1987-03-31,2322.4
1987-06-30,2308.1
1987-09-30,2312.0
1987-12-31,2455.1
1988-03-31,2439.5
1988-06-30,2417.6
1988-09-30,2467.0
1988-12-31,2497.4
1989-03-31,2555.8
1989-06-30,2669.9
1989-09-30,2676.6
1989-12-31,2695.9
1990-03-31,2773.8
1990-06-30,2862.6
1990-09-30,2903.6
1990-12-31,2930.0
1991-03-31,2971.8
1991-06-30,3038.9
1991-09-30,3091.1
1991-12-31,3142.8
1992-03-31,3174.4
1992-06-30,3235.3
1992-09-30,3285.4
1992-12-31,3307.5
1993-03-31,3373.2
1993-06-30,3455.2
1993-09-30,3544.0
1993-12-31,3627.7
1994-03-31,3717.9
1994-06-30,3819.1
1994-09-30,3861.5
1994-12-31,3977.8
1995-03-31,4000.3
1995-06-30,4033.7
1995-09-30,4145.0
1995-12-31,4261.2
1996-03-31,4383.2
1996-06-30,4400.2
1996-09-30,4564.4
1996-12-31,4596.2
1997-03-31,4748.5
1997-06-30,4833.2
1997-09-30,4884.5
1997-12-31,4973.0
1998-03-31,4954.9
1998-06-30,5010.7
1998-09-30,5071.3
1998-12-31,5076.6
1999-03-31,5155.8
1999-06-30,5226.0
1999-09-30,5312.0
1999-12-31,5441.9
2000-03-31,5576.9
2000-06-30,5738.6
2000-09-30,5836.1
2000-12-31,5970.8
2001-03-31,6113.5
2001-06-30,6190.5
2001-09-30,6273.6
2001-12-31,6353.2
2002-03-31,6342.7
2002-06-30,6607.1
2002-09-30,6636.0
2002-12-31,6685.9
2003-03-31,6646.8
2003-06-30,6461.0
2003-09-30,6696.5
2003-12-31,6823.8
2004-03-31,6826.8
2004-06-30,6902.2
2004-09-30,6960.3
2004-12-31,6930.7
2005-03-31,7101.1
2005-06-30,7154.0
2005-09-30,7264.9
2005-12-31,7209.0
2006-03-31,7470.0
2006-06-30,7565.8
2006-09-30,7598.0
2006-12-31,7690.0
2007-03-31,7659.5
2007-06-30,7771.5
2007-09-30,7849.1
2007-12-31,7933.8
2008-03-31,7865.4
2008-06-30,8023.6
2008-09-30,8074.2
2008-12-31,8201.1
2009-03-31,8247.2
2009-06-30,8406.1
2009-09-30,8629.4
2009-12-31,8732.9
2010-03-31,8926.6
2010-06-30,9820.6
2010-09-30,9864.1
2010-12-31,10001.5
2011-03-31,10049.3
2011-06-30,10049.6
2011-09-30,10187.1
2011-12-31,10154.7
2012-03-31,10493.2
2012-06-30,10367.0
2012-09-30,10277.0
2012-12-31,10537.9
2013-03-31,10440.2
2013-06-30,10618.0
2013-09-30,10802.9
2013-12-31,10632.0
2014-03-31,10850.7
2014-06-30,11023.2
2014-09-30,10825.3
2014-12-31,11196.2
2015-03-31,11128.0
2015-06-30,11224.9
2015-09-30,11329.4
2015-12-31,11290.3
2016-03-31,11372.0
2016-06-30,11538.2
2016-09-30,11756.8
2016-12-31,11799.6
2017-03-31,11833.4
2017-06-30,11974.3
2017-09-30,11944.0
2017-12-31,12063.1
2018-03-31,12183.2
2018-06-30,12131.0
2018-09-30,12179.2
2018-12-31,12219.7
2019-03-31,12374.9
2019-06-30,12454.4
2019-09-30,12528.9
2019-12-31,12635.2
2020-03-31,12085.9
2020-06-30,10224.6
2020-09-30,11452.6
2020-12-31,11924.4
2021-03-31,12045.8
2021-06-30,11914.6
2021-09-30,11870.6
2021-12-31,12167.3
2022-03-31,12214.1
2022-06-30,12459.5
2022-09-30,12676.1
2022-12-31,12719.7
2023-03-31,12908.9
2023-06-30,12990.6
2023-09-30,13162.4
2023-12-31,13219.4
2024-03-31,13392.6
