date,value
1975-03-31,4235.5
1975-06-30,4336.0
1975-09-30,4308.1
1975-12-31,4329.3
1976-03-31,4461.6
1976-06-30,4513.6
1976-09-30,4599.7
1976-12-31,4666.8
1977-03-31,4764.6
1977-06-30,4847.1
1977-09-30,4920.6
1977-12-31,5020.6
1978-03-31,5100.8
1978-06-30,5220.5
1978-09-30,5420.4
1978-12-31,5517.2
1979-03-31,5504.0
1979-06-30,5698.8
1979-09-30,5813.1
1979-12-31,6015.9
1980-03-31,6148.6
1980-06-30,6283.2
1980-09-30,6443.6
1980-12-31,6607.2
1981-03-31,6818.7
1981-06-30,6977.5
1981-09-30,7147.6
1981-12-31,7285.9
1982-03-31,7419.6
1982-06-30,7601.4
1982-09-30,7751.0
1982-12-31,7947.6
1983-03-31,7964.2
1983-06-30,8136.4
1983-09-30,8239.7
1983-12-31,8393.7
1984-03-31,8598.5
1984-06-30,8711.3
1984-09-30,8857.7
1984-12-31,9000.5
1985-03-31,9171.4
1985-06-30,9242.1
1985-09-30,9121.1
1985-12-31,9195.0
1986-03-31,9217.2
1986-06-30,9225.2
1986-09-30,9428.9
1986-12-31,9758.6
1987-03-31,10042.2
1987-06-30,10335.1
1987-09-30,10646.7
1987-12-31,10890.7
1988-03-31,11054.9
1988-06-30,11444.5
1988-09-30,11815.4
1988-12-31,12144.1
1989-03-31,12163.6
1989-06-30,13035.3
1989-09-30,13167.2
1989-12-31,13208.7
1990-03-31,14080.8
1990-06-30,14207.6
1990-09-30,14397.6
1990-12-31,14625.2
1991-03-31,15014.6
1991-06-30,15286.6
1991-09-30,15478.9
1991-12-31,15652.6
1992-03-31,15986.6
1992-06-30,16242.9
1992-09-30,16750.5
1992-12-31,17194.9
1993-03-31,17724.6
1993-06-30,18476.2
1993-09-30,18818.1
1993-12-31,19727.7
1994-03-31,20185.5
1994-06-30,20203.0
1994-09-30,20777.5
1994-12-31,21193.6
1995-03-31,20965.3
1995-06-30,21661.7
1995-09-30,22368.7
1995-12-31,22613.5
1996-03-31,23338.4
1996-06-30,23496.3
1996-09-30,23796.8
1996-12-31,24635.1
1997-03-31,25708.0
1997-06-30,26220.5
1997-09-30,26544.3
1997-12-31,26060.5
1998-03-31,25148.3
1998-06-30,25076.0
1998-09-30,24950.8
1998-12-31,25563.8
1999-03-31,25358.8
1999-06-30,26377.9
1999-09-30,26629.4
1999-12-31,27005.1
2000-03-31,27753.5
2000-06-30,28221.2
2000-09-30,28899.7
2000-12-31,28954.3
2001-03-31,29613.3
2001-06-30,29641.6
2001-09-30,29183.1
2001-12-31,29363.4
2002-03-31,29807.7
2002-06-30,30229.3
2002-09-30,30847.9
2002-12-31,31220.4
2003-03-31,31198.5
2003-06-30,31145.9
2003-09-30,33085.8
2003-12-31,34245.0
2004-03-31,34709.2
2004-06-30,35355.8
2004-09-30,35906.1
2004-12-31,36453.4
2005-03-31,37274.8
2005-06-30,37916.2
2005-09-30,38556.1
2005-12-31,39180.5
2006-03-31,40238.1
2006-06-30,40829.1
2006-09-30,41632.4
2006-12-31,42845.3
2007-03-31,43826.2
2007-06-30,44886.5
2007-09-30,45887.0
2007-12-31,46975.2
2008-03-31,47848.2
2008-06-30,48137.9
2008-09-30,47811.2
2008-12-31,46234.0
2009-03-31,45689.3
2009-06-30,46535.3
2009-09-30,48013.6
2009-12-31,49366.0
2010-03-31,51210.6
2010-06-30,52531.7
2010-09-30,53342.6
2010-12-31,55371.4
2011-03-31,55333.6
2011-06-30,55804.1
2011-09-30,58011.5
2011-12-31,57875.4
2012-03-31,58779.5
2012-06-30,59767.4
2012-09-30,59559.5
2012-12-31,61213.5
2013-03-31,63138.2
2013-06-30,63685.7
2013-09-30,64219.4
2013-12-31,64651.5
2014-03-31,65169.4
2014-06-30,66364.5
2014-09-30,66868.9
2014-12-31,68331.9
2015-03-31,68284.3
2015-06-30,69269.1
2015-09-30,70375.9
2015-12-31,70056.7
2016-03-31,70389.0
2016-06-30,70980.0
2016-09-30,72251.3
2016-12-31,72721.7
2017-03-31,73070.8
2017-06-30,73729.0
2017-09-30,74433.3
2017-12-31,75355.5
2018-03-31,75946.1
2018-06-30,76260.5
2018-09-30,77071.8
2018-12-31,76719.7
2019-03-31,77264.8
2019-06-30,77949.1
2019-09-30,78200.4
2019-12-31,78667.4
2020-03-31,77393.3
2020-06-30,69854.4
2020-09-30,73687.2
2020-12-31,77063.6
2021-03-31,80087.3
2021-06-30,79829.6
2021-09-30,80557.9
2021-12-31,81687.4
2022-03-31,83921.4
2022-06-30,83907.2
2022-09-30,85170.9
2022-12-31,85538.4
2023-03-31,85582.8
2023-06-30,86366.7
2023-09-30,87051.3
2023-12-31,87287.2
2024-03-31,88919.7
