date,value
2005-03-31,1509.4
2005-06-30,1515.6
2005-09-30,1551.0
2005-12-31,1536.9
2006-03-31,1601.9
2006-06-30,1621.8
2006-09-30,1628.0
2006-12-31,1641.7
2007-03-31,1636.6
2007-06-30,1663.6
2007-09-30,1678.8
2007-12-31,1685.5
2008-03-31,1668.5
2008-06-30,1703.6
2008-09-30,1707.4
2008-12-31,1700.6
2009-03-31,1708.4
2009-06-30,1735.3
2009-09-30,1761.8
2009-12-31,1801.6
2010-03-31,1842.0
2010-06-30,1916.3
2010-09-30,1891.1
2010-12-31,1932.7
2011-03-31,1969.5
2011-06-30,1956.8
2011-09-30,2005.1
2011-12-31,2031.9
2012-03-31,2060.6
2012-06-30,2068.9
2012-09-30,2089.3
2012-12-31,2116.4
2013-03-31,2146.3
2013-06-30,2178.5
2013-09-30,2206.3
2013-12-31,2264.6
2014-03-31,2300.0
2014-06-30,2347.0
2014-09-30,2400.3
2014-12-31,2411.2
2015-03-31,2445.8
2015-06-30,2483.7
2015-09-30,2476.6
2015-12-31,2592.2
2016-03-31,2652.2
2016-06-30,2725.3
2016-09-30,2795.3
2016-12-31,2823.8
2017-03-31,2871.5
2017-06-30,2864.4
2017-09-30,2886.2
2017-12-31,2890.7
2018-03-31,2914.7
2018-06-30,2951.1
2018-09-30,2945.4
2018-12-31,2992.9
2019-03-31,3018.1
2019-06-30,3031.7
2019-09-30,3060.7
2019-12-31,3087.6
2020-03-31,2939.1
2020-06-30,2711.4
2020-09-30,3003.9
2020-12-31,3155.7
2021-03-31,3220.5
2021-06-30,3209.8
2021-09-30,3236.5
2021-12-31,3268.8
2022-03-31,3298.0
2022-06-30,3392.3
2022-09-30,3373.2
2022-12-31,3420.4
2023-03-31,3455.2
2023-06-30,3542.4
2023-09-30,3513.0
2023-12-31,3529.3
2024-03-31,3562.8
