date,value
2005-03-31,2723.0
2005-06-30,2763.8
2005-09-30,2810.8
2005-12-31,2850.1
2006-03-31,2732.7
2006-06-30,2749.8
2006-09-30,2767.8
2006-12-31,2813.0
2007-03-31,2951.2
2007-06-30,3057.3
2007-09-30,3127.7
2007-12-31,3190.5
2008-03-31,3302.0
2008-06-30,3356.5
2008-09-30,3438.3
2008-12-31,3468.3
2009-03-31,3508.5
2009-06-30,3663.8
2009-09-30,3720.1
2009-12-31,3874.5
2010-03-31,3977.9
2010-06-30,4118.0
2010-09-30,4020.2
2010-12-31,4198.5
2011-03-31,4188.5
2011-06-30,4139.1
2011-09-30,4363.3
2011-12-31,4168.1
2012-03-31,4233.6
2012-06-30,4270.0
2012-09-30,4334.0
2012-12-31,4428.9
2013-03-31,4564.3
2013-06-30,4684.1
2013-09-30,4715.4
2013-12-31,4762.2
2014-03-31,4656.5
2014-06-30,4635.2
2014-09-30,4575.9
2014-12-31,4597.7
2015-03-31,4684.1
2015-06-30,4651.8
2015-09-30,4731.9
2015-12-31,4713.7
2016-03-31,4713.3
2016-06-30,4546.9
2016-09-30,4551.8
2016-12-31,4437.5
2017-03-31,4271.3
2017-06-30,4296.6
2017-09-30,4157.8
2017-12-31,4182.4
2018-03-31,4149.7
2018-06-30,4273.4
2018-09-30,4302.5
2018-12-31,4244.4
2019-03-31,4374.4
2019-06-30,4232.5
2019-09-30,4206.9
2019-12-31,4232.2
2020-03-31,4125.7
2020-06-30,3078.1
2020-09-30,3469.7
2020-12-31,4295.7
2021-03-31,4580.1
2021-06-30,4623.9
2021-09-30,4736.5
2021-12-31,4914.8
2022-03-31,5072.9
2022-06-30,5101.5
2022-09-30,5300.6
2022-12-31,5430.7
2023-03-31,5423.9
2023-06-30,5583.6
2023-09-30,5491.9
2023-12-31,5440.9
2024-03-31,5460.5
