date,value
1975-03-31,4187.0
1975-06-30,4250.7
1975-09-30,4355.8
1975-12-31,4417.6
1976-03-31,4408.7
1976-06-30,4424.4
1976-09-30,4650.1
1976-12-31,4765.5
1977-03-31,4705.9
1977-06-30,4750.0
1977-09-30,4973.7
1977-12-31,5131.9
1978-03-31,5034.5
1978-06-30,5116.8
1978-09-30,5475.7
1978-12-31,5644.1
1979-03-31,5429.9
1979-06-30,5588.1
1979-09-30,5869.4
1979-12-31,6154.7
1980-03-31,6064.1
1980-06-30,6170.6
1980-09-30,6498.7
1980-12-31,6753.8
1981-03-31,6729.4
1981-06-30,6863.3
1981-09-30,7201.4
1981-12-31,7435.0
1982-03-31,7331.8
1982-06-30,7489.9
1982-09-30,7799.9
1982-12-31,8096.6
1983-03-31,7880.9
1983-06-30,8026.3
1983-09-30,8285.3
1983-12-31,8539.8
1984-03-31,8515.7
1984-06-30,8602.3
1984-09-30,8902.6
1984-12-31,9149.3
1985-03-31,9084.1
1985-06-30,9134.0
1985-09-30,9169.6
1985-12-31,9338.5
1986-03-31,9124.1
1986-06-30,9128.3
1986-09-30,9485.6
1986-12-31,9896.8
1987-03-31,9934.6
1987-06-30,10242.3
1987-09-30,10718.6
1987-12-31,11022.9
1988-03-31,10933.8
1988-06-30,11362.7
1988-09-30,11900.8
1988-12-31,12260.6
1989-03-31,12038.9
1989-06-30,12959.8
1989-09-30,13265.6
1989-12-31,13304.5
1990-03-31,13949.8
1990-06-30,14144.1
1990-09-30,14495.9
1990-12-31,14711.8
1991-03-31,14894.9
1991-06-30,15218.3
1991-09-30,15577.3
1991-12-31,15747.1
1992-03-31,15861.1
1992-06-30,16166.7
1992-09-30,16857.9
1992-12-31,17305.6
1993-03-31,17581.6
1993-06-30,18378.5
1993-09-30,18952.8
1993-12-31,19858.3
1994-03-31,20003.2
1994-06-30,20103.4
1994-09-30,20942.7
1994-12-31,21321.6
1995-03-31,20760.9
1995-06-30,21573.8
1995-09-30,22558.6
1995-12-31,22731.3
1996-03-31,23082.1
1996-06-30,23452.8
1996-09-30,24001.0
1996-12-31,24719.1
1997-03-31,25421.6
1997-06-30,26230.2
1997-09-30,26759.0
1997-12-31,26098.5
1998-03-31,24879.2
1998-06-30,25142.5
1998-09-30,25122.2
1998-12-31,25563.5
1999-03-31,25117.6
1999-06-30,26472.6
1999-09-30,26779.6
1999-12-31,26997.8
2000-03-31,27517.0
2000-06-30,28316.3
2000-09-30,29041.9
2000-12-31,28956.6
2001-03-31,29393.9
2001-06-30,29699.4
2001-09-30,29321.4
2001-12-31,29391.3
2002-03-31,29609.2
2002-06-30,30237.8
2002-09-30,30996.3
2002-12-31,31287.2
2003-03-31,30991.0
2003-06-30,31116.9
2003-09-30,33253.5
2003-12-31,34351.8
2004-03-31,34455.8
2004-06-30,35315.8
2004-09-30,36099.6
2004-12-31,36571.9
2005-03-31,36975.1
2005-06-30,37891.9
2005-09-30,38800.2
2005-12-31,39267.1
2006-03-31,39876.8
2006-06-30,40858.5
2006-09-30,41929.7
2006-12-31,42880.0
2007-03-31,43396.7
2007-06-30,44988.8
2007-09-30,46224.3
2007-12-31,46991.2
2008-03-31,47330.5
2008-06-30,48299.2
2008-09-30,48157.4
2008-12-31,46256.2
2009-03-31,45159.8
2009-06-30,46744.7
2009-09-30,48298.3
2009-12-31,49436.1
2010-03-31,50607.3
2010-06-30,52796.5
2010-09-30,53566.1
2010-12-31,55521.5
2011-03-31,54692.8
2011-06-30,56116.0
2011-09-30,58093.9
2011-12-31,58183.9
2012-03-31,58085.3
2012-06-30,60071.6
2012-09-30,59561.9
2012-12-31,61688.5
2013-03-31,62343.9
2013-06-30,63962.1
2013-09-30,64184.7
2013-12-31,65313.5
2014-03-31,64277.9
2014-06-30,66539.0
2014-09-30,66895.6
2014-12-31,69158.7
2015-03-31,67278.5
2015-06-30,69325.9
2015-09-30,70470.2
2015-12-31,71028.4
2016-03-31,69309.9
2016-06-30,70885.6
2016-09-30,72425.4
2016-12-31,73809.6
2017-03-31,71957.9
2017-06-30,73533.6
2017-09-30,74588.1
2017-12-31,76541.6
2018-03-31,74880.6
2018-06-30,75986.7
2018-09-30,77129.6
2018-12-31,77975.6
2019-03-31,76312.9
2019-06-30,77611.6
2019-09-30,78144.1
2019-12-31,79985.1
2020-03-31,76561.3
2020-06-30,69511.4
2020-09-30,73563.4
2020-12-31,78362.1
2021-03-31,79313.7
2021-06-30,79396.9
2021-09-30,80408.1
2021-12-31,83039.3
2022-03-31,83168.6
2022-06-30,83419.7
2022-09-30,85038.9
2022-12-31,86917.3
2023-03-31,84842.5
2023-06-30,85829.5
2023-09-30,86977.3
2023-12-31,88648.0
2024-03-31,88163.9
