date,value
2014-01-31,97.824
2014-02-28,97.616
2014-03-31,102.79
2014-04-30,107.789
2014-05-31,108.115
2014-06-30,108.847
2014-07-31,108.117
2014-08-31,107.279
2014-09-30,106.898
2014-10-31,107.179
2014-11-30,107.26
2014-12-31,106.841
2015-01-31,108.148
2015-02-28,108.195
2015-03-31,108.131
2015-04-30,108.215
2015-05-31,107.909
2015-06-30,107.431
2015-07-31,107.389
2015-08-31,107.721
2015-09-30,107.439
2015-10-31,106.571
2015-11-30,106.71
2015-12-31,107.777
2016-01-31,108.02
2016-02-29,107.663
2016-03-31,107.88
2016-04-30,105.908
2016-05-31,106.532
2016-06-30,106.491
2016-07-31,106.2
2016-08-31,105.749
2016-09-30,105.785
2016-10-31,106.231
2016-11-30,106.63
2016-12-31,106.421
2017-01-31,105.923
2017-02-28,106.071
2017-03-31,103.62
2017-04-30,104.854
2017-05-31,104.903
2017-06-30,104.603
2017-07-31,102.208
2017-08-31,102.65
2017-09-30,102.867
2017-10-31,103.739
2017-11-30,103.249
2017-12-31,100.948
2018-01-31,100.724
2018-02-28,100.677
2018-03-31,100.164
2018-04-30,102.097
2018-05-31,100.719
2018-06-30,101.514
2018-07-31,101.865
2018-08-31,100.289
2018-09-30,100.725
2018-10-31,103.076
2018-11-30,99.702
2018-12-31,100.568
2019-01-31,99.915
2019-02-28,100.615
2019-03-31,100.769
2019-04-30,99.526
2019-05-31,99.615
2019-06-30,100.011
2019-07-31,99.423
2019-08-31,100.604
2019-09-30,100.592
2019-10-31,100.157
2019-11-30,99.288
2019-12-31,99.487
2020-01-31,98.134
2020-02-29,96.888
2020-03-31,95.75
2020-04-30,96.447
2020-05-31,97.305
2020-06-30,95.168
2020-07-31,97.153
2020-08-31,95.215
2020-09-30,93.216
2020-10-31,96.611
2020-11-30,95.277
2020-12-31,96.729
2021-01-31,95.169
2021-02-28,94.502
2021-03-31,95.557
2021-04-30,95.257
2021-05-31,96.06
2021-06-30,95.743
2021-07-31,95.238
2021-08-31,95.446
2021-09-30,95.18
2021-10-31,95.674
2021-11-30,95.435
2021-12-31,94.583
2022-01-31,93.024
2022-02-28,95.648
2022-03-31,96.042
2022-04-30,98.065
2022-05-31,97.986
2022-06-30,100.584
2022-07-31,98.364
2022-08-31,97.712
2022-09-30,98.438
2022-10-31,99.096
2022-11-30,98.65
2022-12-31,99.367
2023-01-31,99.226
2023-02-28,100.432
2023-03-31,100.207
2023-04-30,102.899
2023-05-31,104.53
2023-06-30,103.605
2023-07-31,104.829
2023-08-31,103.487
2023-09-30,101.337
2023-10-31,103.914
2023-11-30,102.469
2023-12-31,99.828
2024-01-31,99.475
2024-02-29,101.58
2024-03-31,100.887
2024-04-30,99.033
