date,value
2000-01-31,89.792
2000-02-29,89.719
2000-03-31,91.514
2000-04-30,91.254
2000-05-31,89.641
2000-06-30,87.988
2000-07-31,89.739
2000-08-31,91.158
2000-09-30,92.612
2000-10-31,92.112
2000-11-30,92.591
2000-12-31,91.54
2001-01-31,89.954
2001-02-28,90.915
2001-03-31,92.674
2001-04-30,92.707
2001-05-31,91.939
2001-06-30,87.477
2001-07-31,92.116
2001-08-31,91.032
2001-09-30,92.168
2001-10-31,90.768
2001-11-30,91.093
2001-12-31,90.787
2002-01-31,88.237
2002-02-28,88.188
2002-03-31,92.181
2002-04-30,92.18
2002-05-31,91.531
2002-06-30,88.289
2002-07-31,93.402
2002-08-31,92.976
2002-09-30,92.44
2002-10-31,92.85
2002-11-30,94.109
2002-12-31,91.41
2003-01-31,92.259
2003-02-28,90.271
2003-03-31,93.793
2003-04-30,93.832
2003-05-31,93.156
2003-06-30,88.021
2003-07-31,92.731
2003-08-31,92.862
2003-09-30,92.399
2003-10-31,91.719
2003-11-30,94.036
2003-12-31,93.197
2004-01-31,94.063
2004-02-29,91.54
2004-03-31,92.528
2004-04-30,94.579
2004-05-31,93.589
2004-06-30,89.978
2004-07-31,90.595
2004-08-31,93.504
2004-09-30,93.149
2004-10-31,92.967
2004-11-30,93.417
2004-12-31,92.59
2005-01-31,92.92
2005-02-28,92.677
2005-03-31,94.917
2005-04-30,96.02
2005-05-31,92.864
2005-06-30,89.451
2005-07-31,89.12
2005-08-31,92.549
2005-09-30,92.239
2005-10-31,94.219
2005-11-30,95.622
2005-12-31,93.949
2006-01-31,92.706
2006-02-28,94.534
2006-03-31,96.088
2006-04-30,95.919
2006-05-31,94.867
2006-06-30,91.172
2006-07-31,93.362
2006-08-31,95.344
2006-09-30,93.895
2006-10-31,94.607
2006-11-30,94.726
2006-12-31,93.568
2007-01-31,92.369
2007-02-28,94.169
2007-03-31,96.604
2007-04-30,96.6
2007-05-31,94.41
2007-06-30,90.55
2007-07-31,93.83
2007-08-31,95.33
2007-09-30,94.318
2007-10-31,94.257
2007-11-30,95.891
2007-12-31,95.498
2008-01-31,95.866
2008-02-29,95.671
2008-03-31,96.644
2008-04-30,96.553
2008-05-31,95.605
2008-06-30,92.126
2008-07-31,95.205
2008-08-31,97.166
2008-09-30,97.433
2008-10-31,95.985
2008-11-30,97.623
2008-12-31,95.969
2009-01-31,95.902
2009-02-28,97.208
2009-03-31,98.423
2009-04-30,98.183
2009-05-31,97.094
2009-06-30,94.66
2009-07-31,98.326
2009-08-31,99.93
2009-09-30,98.526
2009-10-31,98.929
2009-11-30,98.929
2009-12-31,97.336
2010-01-31,96.81
2010-02-28,96.204
2010-03-31,99.231
2010-04-30,99.344
2010-05-31,98.618
2010-06-30,94.96
2010-07-31,98.044
2010-08-31,100.598
2010-09-30,98.901
2010-10-31,100.199
2010-11-30,100.732
2010-12-31,97.729
2011-01-31,97.163
2011-02-28,97.185
2011-03-31,99.611
2011-04-30,99.503
2011-05-31,99.239
2011-06-30,96.353
2011-07-31,97.77
2011-08-31,100.309
2011-09-30,99.271
2011-10-31,100.114
2011-11-30,100.82
2011-12-31,97.813
2012-01-31,98.689
2012-02-29,99.115
2012-03-31,101.424
2012-04-30,100.973
2012-05-31,99.622
2012-06-30,97.39
2012-07-31,100.645
2012-08-31,101.655
2012-09-30,101.758
2012-10-31,101.793
2012-11-30,100.172
2012-12-31,100.334
2013-01-31,99.759
2013-02-28,99.946
2013-03-31,103.063
2013-04-30,101.198
2013-05-31,100.785
2013-06-30,97.496
2013-07-31,100.39
2013-08-31,101.606
2013-09-30,100.114
2013-10-31,100.438
2013-11-30,102.582
2013-12-31,100.571
2014-01-31,100.406
2014-02-28,97.586
2014-03-31,101.196
2014-04-30,101.312
2014-05-31,99.477
2014-06-30,96.864
2014-07-31,98.542
2014-08-31,101.041
2014-09-30,98.068
2014-10-31,99.202
2014-11-30,99.511
2014-12-31,98.026
2015-01-31,97.962
2015-02-28,97.816
2015-03-31,100.036
2015-04-30,98.681
2015-05-31,99.497
2015-06-30,97.08
2015-07-31,98.668
2015-08-31,99.064
2015-09-30,99.951
2015-10-31,99.253
2015-11-30,99.957
2015-12-31,98.943
2016-01-31,100.125
2016-02-29,100.047
2016-03-31,101.412
2016-04-30,101.165
2016-05-31,99.69
2016-06-30,98.616
2016-07-31,97.924
2016-08-31,98.198
2016-09-30,99.687
2016-10-31,100.516
2016-11-30,100.879
2016-12-31,99.665
2017-01-31,99.184
2017-02-28,100.484
2017-03-31,100.694
2017-04-30,101.133
2017-05-31,101.389
2017-06-30,99.992
2017-07-31,99.383
2017-08-31,98.726
2017-09-30,99.95
2017-10-31,100.473
2017-11-30,100.585
2017-12-31,98.637
2018-01-31,99.837
2018-02-28,100.564
2018-03-31,101.477
2018-04-30,101.832
2018-05-31,101.805
2018-06-30,100.888
2018-07-31,101.558
2018-08-31,101.628
2018-09-30,101.17
2018-10-31,100.798
2018-11-30,101.143
2018-12-31,101.239
2019-01-31,102.763
2019-02-28,101.521
2019-03-31,102.089
2019-04-30,99.905
2019-05-31,100.481
2019-06-30,99.665
2019-07-31,97.936
2019-08-31,97.327
2019-09-30,100.45
2019-10-31,99.339
2019-11-30,99.501
2019-12-31,99.024
2020-01-31,97.741
2020-02-29,98.996
2020-03-31,99.866
2020-04-30,96.911
2020-05-31,95.203
2020-06-30,96.305
2020-07-31,95.071
2020-08-31,95.048
2020-09-30,95.787
2020-10-31,95.319
2020-11-30,94.168
2020-12-31,95.328
2021-01-31,93.878
2021-02-28,92.064
2021-03-31,93.729
2021-04-30,92.643
2021-05-31,92.124
2021-06-30,87.938
2021-07-31,88.567
2021-08-31,88.618
2021-09-30,90.458
2021-10-31,92.108
2021-11-30,89.023
2021-12-31,90.153
2022-01-31,89.691
2022-02-28,90.594
2022-03-31,91.836
2022-04-30,94.248
2022-05-31,95.175
2022-06-30,93.792
2022-07-31,94.918
2022-08-31,96.372
2022-09-30,95.752
2022-10-31,94.176
2022-11-30,93.039
2022-12-31,94.675
2023-01-31,95.002
2023-02-28,95.194
2023-03-31,96.051
2023-04-30,97.411
2023-05-31,96.584
2023-06-30,94.269
2023-07-31,93.758
2023-08-31,94.65
2023-09-30,92.621
2023-10-31,92.883
2023-11-30,91.969
2023-12-31,92.71
2024-01-31,95.363
2024-02-29,95.833
2024-03-31,94.238
2024-04-30,97.181
