date,value
2014-01-31,96.387
2014-02-28,97.056
2014-03-31,96.812
2014-04-30,97.001
2014-05-31,96.266
2014-06-30,97.705
2014-07-31,98.238
2014-08-31,97.823
2014-09-30,96.683
2014-10-31,97.383
2014-11-30,98.126
2014-12-31,97.519
2015-01-31,97.561
2015-02-28,96.657
2015-03-31,97.361
2015-04-30,97.632
2015-05-31,97.029
2015-06-30,96.639
2015-07-31,96.718
2015-08-31,97.146
2015-09-30,98.086
2015-10-31,98.35
2015-11-30,97.171
2015-12-31,96.004
2016-01-31,97.055
2016-02-29,97.444
2016-03-31,98.75
2016-04-30,97.898
2016-05-31,98.015
2016-06-30,98.089
2016-07-31,97.312
2016-08-31,97.478
2016-09-30,97.919
2016-10-31,98.325
2016-11-30,98.362
2016-12-31,98.901
2017-01-31,97.671
2017-02-28,98.202
2017-03-31,98.069
2017-04-30,97.695
2017-05-31,98.212
2017-06-30,98.449
2017-07-31,97.828
2017-08-31,96.608
2017-09-30,96.178
2017-10-31,98.45
2017-11-30,98.305
2017-12-31,97.895
2018-01-31,97.697
2018-02-28,97.945
2018-03-31,97.765
2018-04-30,97.902
2018-05-31,97.952
2018-06-30,98.323
2018-07-31,100.732
2018-08-31,101.47
2018-09-30,100.659
2018-10-31,100.391
2018-11-30,100.37
2018-12-31,99.969
2019-01-31,99.915
2019-02-28,100.559
2019-03-31,99.559
2019-04-30,101.016
2019-05-31,99.342
2019-06-30,100.6
2019-07-31,100.642
2019-08-31,98.384
2019-09-30,101.801
2019-10-31,100.223
2019-11-30,99.222
2019-12-31,98.74
2020-01-31,97.082
2020-02-29,100.494
2020-03-31,99.038
2020-04-30,101.053
2020-05-31,100.818
2020-06-30,103.283
2020-07-31,101.576
2020-08-31,102.106
2020-09-30,101.499
2020-10-31,101.501
2020-11-30,101.637
2020-12-31,102.072
2021-01-31,101.528
2021-02-28,101.729
2021-03-31,101.996
2021-04-30,102.101
2021-05-31,103.191
2021-06-30,102.933
2021-07-31,103.316
2021-08-31,102.968
2021-09-30,104.161
2021-10-31,104.894
2021-11-30,104.481
2021-12-31,104.937
2022-01-31,104.921
2022-02-28,105.239
2022-03-31,105.695
2022-04-30,106.328
2022-05-31,105.949
2022-06-30,106.402
2022-07-31,106.603
2022-08-31,106.732
2022-09-30,108.484
2022-10-31,108.987
2022-11-30,109.501
2022-12-31,110.403
2023-01-31,109.505
2023-02-28,110.079
2023-03-31,110.754
2023-04-30,111.473
2023-05-31,112.459
2023-06-30,112.299
2023-07-31,112.267
2023-08-31,112.629
2023-09-30,112.822
2023-10-31,112.842
2023-11-30,114.228
2023-12-31,114.449
2024-01-31,114.514
2024-02-29,114.938
2024-03-31,115.581
2024-04-30,115.021
