date,value
2014-01-31,93.805
2014-02-28,93.245
2014-03-31,94.785
2014-04-30,93.802
2014-05-31,95.303
2014-06-30,95.16
2014-07-31,94.83
2014-08-31,94.597
2014-09-30,96.844
2014-10-31,94.856
2014-11-30,94.739
2014-12-31,92.699
2015-01-31,92.897
2015-02-28,91.789
2015-03-31,93.699
2015-04-30,96.18
2015-05-31,94.666
2015-06-30,96.174
2015-07-31,95.6
2015-08-31,99.228
2015-09-30,97.482
2015-10-31,97.722
2015-11-30,96.743
2015-12-31,95.774
2016-01-31,96.127
2016-02-29,98.065
2016-03-31,97.822
2016-04-30,98.958
2016-05-31,96.186
2016-06-30,97.085
2016-07-31,98.486
2016-08-31,97.824
2016-09-30,98.842
2016-10-31,98.614
2016-11-30,96.536
2016-12-31,94.98
2017-01-31,97.512
2017-02-28,99.377
2017-03-31,98.522
2017-04-30,99.257
2017-05-31,100.112
2017-06-30,99.014
2017-07-31,99.338
2017-08-31,97.243
2017-09-30,99.982
2017-10-31,99.185
2017-11-30,101.828
2017-12-31,98.481
2018-01-31,98.895
2018-02-28,100.058
2018-03-31,100.773
2018-04-30,102.14
2018-05-31,100.052
2018-06-30,101.182
2018-07-31,100.959
2018-08-31,101.408
2018-09-30,101.608
2018-10-31,100.594
2018-11-30,99.898
2018-12-31,100.194
2019-01-31,98.44
2019-02-28,99.691
2019-03-31,100.184
2019-04-30,98.85
2019-05-31,100.498
2019-06-30,100.204
2019-07-31,100.875
2019-08-31,99.563
2019-09-30,100.727
2019-10-31,100.092
2019-11-30,101.079
2019-12-31,99.797
2020-01-31,97.575
2020-02-29,104.729
2020-03-31,99.856
2020-04-30,104.046
2020-05-31,109.468
2020-06-30,109.367
2020-07-31,109.808
2020-08-31,109.156
2020-09-30,109.632
2020-10-31,108.178
2020-11-30,107.592
2020-12-31,108.157
2021-01-31,106.882
2021-02-28,108.259
2021-03-31,107.116
2021-04-30,107.693
2021-05-31,106.633
2021-06-30,105.935
2021-07-31,107.855
2021-08-31,105.99
2021-09-30,108.163
2021-10-31,107.574
2021-11-30,104.985
2021-12-31,105.815
2022-01-31,106.66
2022-02-28,106.282
2022-03-31,107.161
2022-04-30,108.188
2022-05-31,107.335
2022-06-30,108.724
2022-07-31,109.77
2022-08-31,110.173
2022-09-30,114.963
2022-10-31,114.668
2022-11-30,114.365
2022-12-31,112.581
2023-01-31,111.238
2023-02-28,113.376
2023-03-31,113.515
2023-04-30,113.013
2023-05-31,115.009
2023-06-30,114.727
2023-07-31,118.656
2023-08-31,118.274
2023-09-30,117.403
2023-10-31,116.652
2023-11-30,114.183
2023-12-31,113.323
2024-01-31,113.359
2024-02-29,114.09
2024-03-31,113.097
2024-04-30,114.41
