date,value
2014-01-31,96.975
2014-02-28,97.15
2014-03-31,97.15
2014-04-30,97.978
2014-05-31,98.137
2014-06-30,98.198
2014-07-31,98.432
2014-08-31,98.553
2014-09-30,94.679
2014-10-31,94.587
2014-11-30,94.587
2014-12-31,94.587
2015-01-31,94.587
2015-02-28,94.744
2015-03-31,95.417
2015-04-30,95.417
2015-05-31,95.661
2015-06-30,95.914
2015-07-31,96.026
2015-08-31,96.067
2015-09-30,96.198
2015-10-31,96.167
2015-11-30,96.196
2015-12-31,96.23
2016-01-31,96.298
2016-02-29,96.724
2016-03-31,96.725
2016-04-30,96.727
2016-05-31,97.019
2016-06-30,97.019
2016-07-31,97.393
2016-08-31,97.505
2016-09-30,97.505
2016-10-31,97.509
2016-11-30,97.815
2016-12-31,97.73
2017-01-31,97.73
2017-02-28,97.73
2017-03-31,97.73
2017-04-30,98.549
2017-05-31,98.57
2017-06-30,98.571
2017-07-31,98.687
2017-08-31,98.749
2017-09-30,98.959
2017-10-31,99.004
2017-11-30,99.004
2017-12-31,99.195
2018-01-31,99.21
2018-02-28,99.362
2018-03-31,99.463
2018-04-30,99.463
2018-05-31,99.749
2018-06-30,99.755
2018-07-31,99.755
2018-08-31,99.886
2018-09-30,100.742
2018-10-31,100.754
2018-11-30,100.864
2018-12-31,100.938
2019-01-31,101.215
2019-02-28,101.215
2019-03-31,101.215
2019-04-30,101.393
2019-05-31,100.91
2019-06-30,101.071
2019-07-31,100.9
2019-08-31,101.061
2019-09-30,101.061
2019-10-31,100.876
2019-11-30,94.53
2019-12-31,94.554
2020-01-31,94.565
2020-02-29,94.619
2020-03-31,94.882
2020-04-30,94.882
2020-05-31,94.974
2020-06-30,94.974
2020-07-31,95.429
2020-08-31,95.429
2020-09-30,95.43
2020-10-31,95.572
2020-11-30,95.572
2020-12-31,95.952
2021-01-31,96.034
2021-02-28,96.105
2021-03-31,97.055
2021-04-30,97.055
2021-05-31,97.322
2021-06-30,97.455
2021-07-31,97.114
2021-08-31,97.618
2021-09-30,97.966
2021-10-31,97.966
2021-11-30,98.442
2021-12-31,98.324
2022-01-31,98.324
2022-02-28,99.565
2022-03-31,100.328
2022-04-30,100.328
2022-05-31,100.328
2022-06-30,100.997
2022-07-31,101.051
2022-08-31,101.471
2022-09-30,101.529
2022-10-31,101.7
2022-11-30,102.46
2022-12-31,102.658
2023-01-31,104.845
2023-02-28,106.052
2023-03-31,106.068
2023-04-30,106.815
2023-05-31,106.938
2023-06-30,106.991
2023-07-31,107.826
2023-08-31,108.467
2023-09-30,108.641
2023-10-31,108.761
2023-11-30,108.759
2023-12-31,109.416
2024-01-31,110.137
2024-02-29,110.821
2024-03-31,110.821
2024-04-30,110.821
