date,value
2014-01-31,91.808
2014-02-28,91.808
2014-03-31,92.175
2014-04-30,92.095
2014-05-31,92.182
2014-06-30,92.188
2014-07-31,92.201
2014-08-31,92.271
2014-09-30,92.271
2014-10-31,92.271
2014-11-30,92.271
2014-12-31,92.271
2015-01-31,92.991
2015-02-28,93.344
2015-03-31,93.514
2015-04-30,93.713
2015-05-31,89.018
2015-06-30,89.018
2015-07-31,89.158
2015-08-31,89.513
2015-09-30,89.63
2015-10-31,89.819
2015-11-30,90.164
2015-12-31,90.458
2016-01-31,90.831
2016-02-29,92.496
2016-03-31,92.991
2016-04-30,94.072
2016-05-31,94.388
2016-06-30,94.613
2016-07-31,94.613
2016-08-31,94.613
2016-09-30,94.672
2016-10-31,94.838
2016-11-30,94.941
2016-12-31,94.941
2017-01-31,95.159
2017-02-28,95.626
2017-03-31,96.011
2017-04-30,96.268
2017-05-31,96.476
2017-06-30,96.575
2017-07-31,97.09
2017-08-31,97.122
2017-09-30,97.221
2017-10-31,97.456
2017-11-30,97.424
2017-12-31,97.622
2018-01-31,97.728
2018-02-28,97.762
2018-03-31,98.046
2018-04-30,98.143
2018-05-31,98.155
2018-06-30,98.187
2018-07-31,98.266
2018-08-31,98.392
2018-09-30,98.609
2018-10-31,98.609
2018-11-30,98.609
2018-12-31,98.609
2019-01-31,99.101
2019-02-28,99.247
2019-03-31,99.287
2019-04-30,100.19
2019-05-31,100.19
2019-06-30,100.19
2019-07-31,100.19
2019-08-31,100.346
2019-09-30,100.346
2019-10-31,100.305
2019-11-30,100.305
2019-12-31,100.305
2020-01-31,100.305
2020-02-29,100.343
2020-03-31,100.309
2020-04-30,100.355
2020-05-31,100.354
2020-06-30,100.354
2020-07-31,100.375
2020-08-31,100.412
2020-09-30,100.44
2020-10-31,100.528
2020-11-30,100.679
2020-12-31,100.679
2021-01-31,101.561
2021-02-28,101.788
2021-03-31,101.704
2021-04-30,101.739
2021-05-31,101.775
2021-06-30,101.775
2021-07-31,102.608
2021-08-31,102.698
2021-09-30,102.698
2021-10-31,102.698
2021-11-30,102.698
2021-12-31,102.917
2022-01-31,102.897
2022-02-28,102.897
2022-03-31,102.897
2022-04-30,103.108
2022-05-31,103.175
2022-06-30,103.175
2022-07-31,103.266
2022-08-31,103.283
2022-09-30,103.283
2022-10-31,103.584
2022-11-30,103.584
2022-12-31,103.612
2023-01-31,104.465
2023-02-28,104.47
2023-03-31,104.47
2023-04-30,104.48
2023-05-31,104.703
2023-06-30,104.967
2023-07-31,105.258
2023-08-31,105.258
2023-09-30,105.357
2023-10-31,105.357
2023-11-30,105.357
2023-12-31,105.357
2024-01-31,105.861
2024-02-29,105.896
2024-03-31,105.861
2024-04-30,105.96
