date,value
2000-01-31,66.808
2000-02-29,72.318
2000-03-31,64.762
2000-04-30,63.958
2000-05-31,64.166
2000-06-30,65.49
2000-07-31,66.746
2000-08-31,66.651
2000-09-30,65.324
2000-10-31,64.463
2000-11-30,64.468
2000-12-31,64.817
2001-01-31,73.419
2001-02-28,66.518
2001-03-31,64.66
2001-04-30,64.576
2001-05-31,65.253
2001-06-30,65.958
2001-07-31,66.757
2001-08-31,66.626
2001-09-30,65.936
2001-10-31,64.982
2001-11-30,64.65
2001-12-31,64.417
2002-01-31,66.041
2002-02-28,70.059
2002-03-31,64.561
2002-04-30,63.746
2002-05-31,64.843
2002-06-30,64.443
2002-07-31,64.447
2002-08-31,64.682
2002-09-30,65.199
2002-10-31,63.739
2002-11-30,63.258
2002-12-31,63.043
2003-01-31,66.519
2003-02-28,65.036
2003-03-31,63.026
2003-04-30,63.455
2003-05-31,63.842
2003-06-30,63.872
2003-07-31,63.07
2003-08-31,63.439
2003-09-30,63.418
2003-10-31,63.121
2003-11-30,62.456
2003-12-31,62.855
2004-01-31,66.874
2004-02-29,64.607
2004-03-31,63.916
2004-04-30,63.205
2004-05-31,63.443
2004-06-30,64.105
2004-07-31,64.712
2004-08-31,64.884
2004-09-30,64.867
2004-10-31,64.274
2004-11-30,63.985
2004-12-31,64.444
2005-01-31,66.045
2005-02-28,68.879
2005-03-31,64.73
2005-04-30,65.41
2005-05-31,65.353
2005-06-30,65.257
2005-07-31,65.488
2005-08-31,66.371
2005-09-30,65.831
2005-10-31,66.379
2005-11-30,66.315
2005-12-31,66.178
2006-01-31,70.71
2006-02-28,67.48
2006-03-31,67.002
2006-04-30,66.887
2006-05-31,67.403
2006-06-30,67.691
2006-07-31,69.469
2006-08-31,69.18
2006-09-30,68.384
2006-10-31,68.461
2006-11-30,67.439
2006-12-31,67.183
2007-01-31,70.152
2007-02-28,74.479
2007-03-31,68.323
2007-04-30,67.172
2007-05-31,68.22
2007-06-30,68.555
2007-07-31,69.42
2007-08-31,70.005
2007-09-30,69.606
2007-10-31,69.689
2007-11-30,69.338
2007-12-31,69.745
2008-01-31,72.003
2008-02-29,75.034
2008-03-31,71.681
2008-04-30,71.351
2008-05-31,71.548
2008-06-30,72.179
2008-07-31,73.368
2008-08-31,73.416
