date,value
2014-01-31,105.649
2014-02-28,104.923
2014-03-31,104.199
2014-04-30,103.173
2014-05-31,103.369
2014-06-30,104.337
2014-07-31,104.337
2014-08-31,104.119
2014-09-30,103.974
2014-10-31,103.974
2014-11-30,101.719
2014-12-31,101.719
2015-01-31,99.698
2015-02-28,94.309
2015-03-31,94.596
2015-04-30,94.754
2015-05-31,90.945
2015-06-30,90.645
2015-07-31,90.099
2015-08-31,91.76
2015-09-30,91.429
2015-10-31,91.303
2015-11-30,90.0
2015-12-31,90.871
2016-01-31,90.579
2016-02-29,88.69
2016-03-31,88.552
2016-04-30,88.706
2016-05-31,86.817
2016-06-30,86.817
2016-07-31,86.516
2016-08-31,87.868
2016-09-30,88.161
2016-10-31,88.74
2016-11-30,90.271
2016-12-31,90.271
2017-01-31,91.087
2017-02-28,95.092
2017-03-31,95.552
2017-04-30,94.683
2017-05-31,94.914
2017-06-30,94.914
2017-07-31,95.061
2017-08-31,94.87
2017-09-30,95.408
2017-10-31,97.179
2017-11-30,97.179
2017-12-31,97.179
2018-01-31,96.887
2018-02-28,98.817
2018-03-31,98.504
2018-04-30,98.779
2018-05-31,99.229
2018-06-30,99.229
2018-07-31,99.229
2018-08-31,101.062
2018-09-30,101.372
2018-10-31,101.372
2018-11-30,102.52
2018-12-31,102.52
2019-01-31,101.935
2019-02-28,101.935
2019-03-31,101.935
2019-04-30,99.856
2019-05-31,99.856
2019-06-30,99.856
2019-07-31,100.732
2019-08-31,100.732
2019-09-30,100.732
2019-10-31,97.477
2019-11-30,97.477
2019-12-31,97.477
2020-01-31,96.026
2020-02-29,97.511
2020-03-31,97.511
2020-04-30,97.155
2020-05-31,95.812
2020-06-30,96.086
2020-07-31,93.942
2020-08-31,94.461
2020-09-30,94.463
2020-10-31,96.824
2020-11-30,98.166
2020-12-31,98.17
2021-01-31,98.566
2021-02-28,99.042
2021-03-31,99.084
2021-04-30,101.517
2021-05-31,101.78
2021-06-30,101.78
2021-07-31,102.956
2021-08-31,102.96
2021-09-30,102.959
2021-10-31,104.627
2021-11-30,104.628
2021-12-31,104.627
2022-01-31,108.048
2022-02-28,108.099
2022-03-31,109.435
2022-04-30,112.257
2022-05-31,112.257
2022-06-30,112.259
2022-07-31,115.729
2022-08-31,114.376
2022-09-30,114.375
2022-10-31,112.014
2022-11-30,112.012
2022-12-31,112.012
2023-01-31,110.053
2023-02-28,110.015
2023-03-31,110.575
2023-04-30,110.096
2023-05-31,110.067
2023-06-30,110.071
2023-07-31,110.746
2023-08-31,109.571
2023-09-30,109.394
2023-10-31,111.068
2023-11-30,111.159
2023-12-31,111.156
2024-01-31,113.959
2024-02-29,115.244
2024-03-31,116.848
2024-04-30,116.765
