date,value
2000-01-31,68.519
2000-02-29,69.031
2000-03-31,68.451
2000-04-30,69.544
2000-05-31,68.882
2000-06-30,70.722
2000-07-31,70.363
2000-08-31,70.452
2000-09-30,70.126
2000-10-31,70.687
2000-11-30,73.642
2000-12-31,74.78
2001-01-31,73.478
2001-02-28,72.767
2001-03-31,72.653
2001-04-30,75.603
2001-05-31,75.779
2001-06-30,76.297
2001-07-31,75.773
2001-08-31,75.818
2001-09-30,76.034
2001-10-31,76.089
2001-11-30,75.401
2001-12-31,76.387
2002-01-31,75.258
2002-02-28,75.679
2002-03-31,75.112
2002-04-30,75.359
2002-05-31,75.435
2002-06-30,78.831
2002-07-31,74.352
2002-08-31,74.441
2002-09-30,74.533
2002-10-31,74.901
2002-11-30,76.619
2002-12-31,78.634
2003-01-31,77.318
2003-02-28,77.274
2003-03-31,76.359
2003-04-30,73.334
2003-05-31,69.394
2003-06-30,69.34
2003-07-31,67.62
2003-08-31,69.063
2003-09-30,72.41
2003-10-31,72.948
2003-11-30,73.973
2003-12-31,76.46
2004-01-31,73.481
2004-02-29,73.097
2004-03-31,73.108
2004-04-30,72.26
2004-05-31,73.892
2004-06-30,74.102
2004-07-31,73.392
2004-08-31,72.993
2004-09-30,73.537
2004-10-31,73.925
2004-11-30,74.455
2004-12-31,74.651
2005-01-31,73.543
2005-02-28,73.845
2005-03-31,73.229
2005-04-30,76.025
2005-05-31,76.136
2005-06-30,75.28
2005-07-31,74.188
2005-08-31,74.683
2005-09-30,76.162
2005-10-31,78.109
2005-11-30,77.875
2005-12-31,79.477
2006-01-31,78.01
2006-02-28,76.351
2006-03-31,76.261
2006-04-30,75.123
2006-05-31,73.219
2006-06-30,73.702
2006-07-31,72.348
2006-08-31,72.155
2006-09-30,73.172
2006-10-31,74.613
2006-11-30,77.868
2006-12-31,80.495
2007-01-31,78.633
2007-02-28,78.285
2007-03-31,79.209
2007-04-30,81.92
2007-05-31,79.461
2007-06-30,80.634
2007-07-31,79.7
2007-08-31,79.665
2007-09-30,81.08
2007-10-31,83.492
2007-11-30,84.704
2007-12-31,87.282
2008-01-31,84.818
2008-02-29,84.752
2008-03-31,84.849
2008-04-30,86.363
2008-05-31,86.191
2008-06-30,86.946
2008-07-31,86.064
2008-08-31,86.449
2008-09-30,87.514
2008-10-31,88.585
2008-11-30,88.691
2008-12-31,90.084
2009-01-31,89.475
2009-02-28,86.329
2009-03-31,86.3
2009-04-30,85.742
2009-05-31,84.038
2009-06-30,83.976
2009-07-31,82.194
2009-08-31,81.167
2009-09-30,81.361
2009-10-31,82.196
2009-11-30,83.811
2009-12-31,85.813
2010-01-31,83.084
2010-02-28,85.528
2010-03-31,84.483
2010-04-30,86.243
2010-05-31,86.406
2010-06-30,87.048
2010-07-31,87.454
2010-08-31,87.667
2010-09-30,88.173
2010-10-31,89.592
2010-11-30,90.613
2010-12-31,91.932
2011-01-31,90.424
2011-02-28,90.817
2011-03-31,91.02
2011-04-30,91.559
2011-05-31,89.507
2011-06-30,90.443
2011-07-31,89.577
2011-08-31,90.443
2011-09-30,90.122
2011-10-31,90.851
2011-11-30,92.558
2011-12-31,94.994
2012-01-31,93.227
2012-02-29,92.075
2012-03-31,91.87
2012-04-30,92.016
2012-05-31,90.866
2012-06-30,91.086
2012-07-31,90.051
2012-08-31,90.662
2012-09-30,91.3
2012-10-31,92.71
2012-11-30,93.379
2012-12-31,95.226
2013-01-31,92.369
2013-02-28,92.407
2013-03-31,92.166
2013-04-30,90.571
2013-05-31,90.754
2013-06-30,91.719
2013-07-31,90.539
2013-08-31,91.579
2013-09-30,92.523
2013-10-31,93.244
2013-11-30,95.439
2013-12-31,96.822
2014-01-31,94.916
2014-02-28,94.562
2014-03-31,94.445
2014-04-30,94.937
2014-05-31,94.232
2014-06-30,94.648
2014-07-31,93.715
2014-08-31,93.693
2014-09-30,93.45
2014-10-31,94.53
2014-11-30,94.405
2014-12-31,95.146
2015-01-31,93.661
2015-02-28,94.893
2015-03-31,94.776
2015-04-30,93.948
2015-05-31,93.577
2015-06-30,94.535
2015-07-31,94.433
2015-08-31,94.442
2015-09-30,94.293
2015-10-31,94.646
2015-11-30,95.14
2015-12-31,97.032
2016-01-31,94.558
2016-02-29,94.99
2016-03-31,94.926
2016-04-30,94.831
2016-05-31,94.896
2016-06-30,96.488
2016-07-31,95.579
2016-08-31,95.261
2016-09-30,95.785
2016-10-31,96.212
2016-11-30,96.537
2016-12-31,99.02
2017-01-31,96.427
2017-02-28,95.287
2017-03-31,95.775
2017-04-30,95.821
2017-05-31,94.799
2017-06-30,96.408
2017-07-31,95.052
2017-08-31,95.474
2017-09-30,95.807
2017-10-31,96.659
2017-11-30,97.219
2017-12-31,98.806
2018-01-31,96.194
2018-02-28,97.682
2018-03-31,96.014
2018-04-30,96.9
2018-05-31,96.797
2018-06-30,98.738
2018-07-31,97.756
2018-08-31,98.035
2018-09-30,98.409
2018-10-31,99.407
2018-11-30,99.028
2018-12-31,101.951
2019-01-31,98.219
2019-02-28,99.907
2019-03-31,99.786
2019-04-30,100.736
2019-05-31,99.526
2019-06-30,101.288
2019-07-31,99.561
2019-08-31,99.177
2019-09-30,99.138
2019-10-31,100.031
2019-11-30,100.572
2019-12-31,102.063
2020-01-31,99.44
2020-02-29,97.655
2020-03-31,96.956
2020-04-30,96.064
2020-05-31,96.515
2020-06-30,96.535
2020-07-31,96.226
2020-08-31,96.726
2020-09-30,97.018
2020-10-31,96.63
2020-11-30,97.051
2020-12-31,97.545
2021-01-31,97.055
2021-02-28,97.574
2021-03-31,97.488
2021-04-30,97.334
2021-05-31,98.087
2021-06-30,98.366
2021-07-31,98.089
2021-08-31,98.362
2021-09-30,99.048
2021-10-31,99.273
2021-11-30,99.655
2021-12-31,100.091
2022-01-31,97.897
2022-02-28,97.589
2022-03-31,98.844
2022-04-30,99.412
2022-05-31,101.655
2022-06-30,104.622
2022-07-31,103.564
2022-08-31,106.374
2022-09-30,107.353
2022-10-31,106.564
2022-11-30,107.752
2022-12-31,111.411
2023-01-31,107.31
2023-02-28,106.787
2023-03-31,108.448
2023-04-30,110.529
2023-05-31,110.112
2023-06-30,111.76
2023-07-31,113.175
2023-08-31,113.9
2023-09-30,113.131
2023-10-31,114.886
2023-11-30,115.639
2023-12-31,120.563
2024-01-31,112.712
2024-02-29,114.602
2024-03-31,115.011
2024-04-30,116.449
