date,value
2014-01-31,101.211
2014-02-28,99.893
2014-03-31,101.995
2014-04-30,100.024
2014-05-31,100.65
2014-06-30,101.079
2014-07-31,98.724
2014-08-31,98.901
2014-09-30,100.465
2014-10-31,101.557
2014-11-30,99.717
2014-12-31,99.744
2015-01-31,99.305
2015-02-28,99.557
2015-03-31,100.12
2015-04-30,101.008
2015-05-31,99.391
2015-06-30,100.434
2015-07-31,98.595
2015-08-31,96.298
2015-09-30,96.31
2015-10-31,98.896
2015-11-30,99.727
2015-12-31,99.39
2016-01-31,99.769
2016-02-29,99.467
2016-03-31,100.089
2016-04-30,100.913
2016-05-31,100.308
2016-06-30,99.759
2016-07-31,99.656
2016-08-31,98.404
2016-09-30,100.219
2016-10-31,100.655
2016-11-30,101.285
2016-12-31,100.548
2017-01-31,100.403
2017-02-28,99.937
2017-03-31,100.425
2017-04-30,100.236
2017-05-31,100.769
2017-06-30,100.221
2017-07-31,100.014
2017-08-31,97.89
2017-09-30,99.089
2017-10-31,101.099
2017-11-30,101.076
2017-12-31,100.754
2018-01-31,100.974
2018-02-28,100.347
2018-03-31,102.148
2018-04-30,101.958
2018-05-31,101.847
2018-06-30,101.096
2018-07-31,99.524
2018-08-31,99.067
2018-09-30,99.884
2018-10-31,100.674
2018-11-30,100.675
2018-12-31,99.85
2019-01-31,100.153
2019-02-28,99.871
2019-03-31,100.093
2019-04-30,100.159
2019-05-31,100.833
2019-06-30,99.808
2019-07-31,98.543
2019-08-31,98.793
2019-09-30,99.901
2019-10-31,100.573
2019-11-30,100.728
2019-12-31,100.544
2020-01-31,99.26
2020-02-29,101.673
2020-03-31,101.146
2020-04-30,103.141
2020-05-31,104.631
2020-06-30,103.582
2020-07-31,101.348
2020-08-31,100.329
2020-09-30,102.189
2020-10-31,102.369
2020-11-30,102.25
2020-12-31,102.585
2021-01-31,102.53
2021-02-28,102.858
2021-03-31,102.833
2021-04-30,103.897
2021-05-31,103.935
2021-06-30,104.132
2021-07-31,101.643
2021-08-31,100.849
2021-09-30,103.408
2021-10-31,104.435
2021-11-30,104.007
2021-12-31,105.274
2022-01-31,104.093
2022-02-28,105.343
2022-03-31,107.902
2022-04-30,107.432
2022-05-31,107.95
2022-06-30,110.257
2022-07-31,110.355
2022-08-31,108.616
2022-09-30,113.593
2022-10-31,113.852
2022-11-30,115.832
2022-12-31,117.044
2023-01-31,116.205
2023-02-28,116.034
2023-03-31,116.956
2023-04-30,117.38
2023-05-31,117.911
2023-06-30,117.72
2023-07-31,118.422
2023-08-31,115.826
2023-09-30,116.65
2023-10-31,118.305
2023-11-30,118.007
2023-12-31,118.447
2024-01-31,119.201
2024-02-29,118.332
2024-03-31,118.735
2024-04-30,118.144
