date,value
2014-01-31,88.185
2014-02-28,87.798
2014-03-31,87.798
2014-04-30,87.798
2014-05-31,87.798
2014-06-30,87.798
2014-07-31,87.798
2014-08-31,87.798
2014-09-30,87.798
2014-10-31,88.073
2014-11-30,88.146
2014-12-31,88.192
2015-01-31,91.936
2015-02-28,93.043
2015-03-31,91.839
2015-04-30,91.839
2015-05-31,91.839
2015-06-30,92.388
2015-07-31,92.716
2015-08-31,92.519
2015-09-30,92.624
2015-10-31,92.382
2015-11-30,92.583
2015-12-31,92.979
2016-01-31,95.59
2016-02-29,97.217
2016-03-31,95.763
2016-04-30,95.031
2016-05-31,95.694
2016-06-30,95.49
2016-07-31,95.52
2016-08-31,95.918
2016-09-30,96.037
2016-10-31,95.542
2016-11-30,95.424
2016-12-31,96.544
2017-01-31,99.029
2017-02-28,97.845
2017-03-31,97.492
2017-04-30,98.214
2017-05-31,97.708
2017-06-30,98.192
2017-07-31,97.641
2017-08-31,97.812
2017-09-30,97.7
2017-10-31,97.798
2017-11-30,97.696
2017-12-31,98.872
2018-01-31,99.118
2018-02-28,101.313
2018-03-31,99.256
2018-04-30,99.184
2018-05-31,99.258
2018-06-30,100.009
2018-07-31,99.252
2018-08-31,99.42
2018-09-30,99.25
2018-10-31,99.249
2018-11-30,99.568
2018-12-31,100.048
2019-01-31,98.724
2019-02-28,101.53
2019-03-31,99.072
2019-04-30,99.746
2019-05-31,100.189
2019-06-30,99.795
2019-07-31,99.586
2019-08-31,100.418
2019-09-30,99.585
2019-10-31,99.785
2019-11-30,100.29
2019-12-31,101.282
2020-01-31,104.943
2020-02-29,99.476
2020-03-31,97.39
2020-04-30,96.482
2020-05-31,96.623
2020-06-30,96.629
2020-07-31,96.532
2020-08-31,96.722
2020-09-30,96.822
2020-10-31,96.691
2020-11-30,96.813
2020-12-31,96.922
2021-01-31,96.743
2021-02-28,96.917
2021-03-31,96.985
2021-04-30,96.933
2021-05-31,97.178
2021-06-30,97.175
2021-07-31,97.116
2021-08-31,97.286
2021-09-30,97.417
2021-10-31,97.507
2021-11-30,97.814
2021-12-31,97.959
2022-01-31,98.634
2022-02-28,98.911
2022-03-31,99.308
2022-04-30,99.265
2022-05-31,104.271
2022-06-30,104.461
2022-07-31,103.437
2022-08-31,103.674
2022-09-30,102.055
2022-10-31,103.179
2022-11-30,102.877
2022-12-31,104.721
2023-01-31,112.291
2023-02-28,107.631
2023-03-31,106.922
2023-04-30,108.646
2023-05-31,106.821
2023-06-30,107.85
2023-07-31,106.256
2023-08-31,106.169
2023-09-30,106.311
2023-10-31,106.531
2023-11-30,108.019
2023-12-31,108.387
2024-01-31,110.812
2024-02-29,115.349
2024-03-31,111.868
2024-04-30,111.256
