date,value
2014-01-31,95.891
2014-02-28,95.833
2014-03-31,95.885
2014-04-30,95.899
2014-05-31,95.928
2014-06-30,95.889
2014-07-31,96.258
2014-08-31,96.322
2014-09-30,95.953
2014-10-31,96.118
2014-11-30,96.015
2014-12-31,96.177
2015-01-31,96.495
2015-02-28,96.4
2015-03-31,96.445
2015-04-30,96.79
2015-05-31,96.936
2015-06-30,97.29
2015-07-31,97.79
2015-08-31,97.12
2015-09-30,97.792
2015-10-31,97.868
2015-11-30,97.589
2015-12-31,97.552
2016-01-31,97.877
2016-02-29,98.089
2016-03-31,98.134
2016-04-30,98.188
2016-05-31,98.108
2016-06-30,97.885
2016-07-31,98.023
2016-08-31,97.625
2016-09-30,98.049
2016-10-31,98.327
2016-11-30,98.148
2016-12-31,97.947
2017-01-31,98.163
2017-02-28,97.884
2017-03-31,97.726
2017-04-30,97.847
2017-05-31,97.984
2017-06-30,97.68
2017-07-31,98.989
2017-08-31,99.248
2017-09-30,98.433
2017-10-31,98.923
2017-11-30,98.7
2017-12-31,98.586
2018-01-31,99.109
2018-02-28,99.625
2018-03-31,99.063
2018-04-30,99.552
2018-05-31,99.057
2018-06-30,98.806
2018-07-31,99.863
2018-08-31,99.75
2018-09-30,99.505
2018-10-31,99.4
2018-11-30,98.978
2018-12-31,98.762
2019-01-31,99.581
2019-02-28,99.336
2019-03-31,99.174
2019-04-30,100.003
2019-05-31,100.034
2019-06-30,99.827
2019-07-31,100.655
2019-08-31,99.783
2019-09-30,99.969
2019-10-31,100.557
2019-11-30,100.64
2019-12-31,100.442
2020-01-31,101.285
2020-02-29,101.189
2020-03-31,101.192
2020-04-30,100.541
2020-05-31,100.973
2020-06-30,100.833
2020-07-31,101.301
2020-08-31,100.966
2020-09-30,101.137
2020-10-31,102.187
2020-11-30,102.546
2020-12-31,102.542
2021-01-31,102.642
2021-02-28,102.523
2021-03-31,102.597
2021-04-30,103.631
2021-05-31,103.823
2021-06-30,103.322
2021-07-31,103.021
2021-08-31,103.327
2021-09-30,102.933
2021-10-31,102.874
2021-11-30,103.201
2021-12-31,104.873
2022-01-31,105.106
2022-02-28,105.114
2022-03-31,105.467
2022-04-30,106.716
2022-05-31,106.682
2022-06-30,107.059
2022-07-31,107.191
2022-08-31,107.895
2022-09-30,107.995
2022-10-31,108.938
2022-11-30,109.223
2022-12-31,108.63
2023-01-31,110.537
2023-02-28,110.779
2023-03-31,111.181
2023-04-30,111.666
2023-05-31,111.552
2023-06-30,111.609
2023-07-31,111.4
2023-08-31,110.32
2023-09-30,110.563
2023-10-31,111.171
2023-11-30,111.048
2023-12-31,111.079
2024-01-31,112.859
2024-02-29,113.19
2024-03-31,112.796
2024-04-30,114.603
