date,value
2014-01-31,104.638
2014-02-28,92.7
2014-03-31,88.89
2014-04-30,88.812
2014-05-31,89.177
2014-06-30,89.063
2014-07-31,90.191
2014-08-31,91.638
2014-09-30,89.532
2014-10-31,90.971
2014-11-30,90.878
2014-12-31,91.311
2015-01-31,94.418
2015-02-28,103.867
2015-03-31,91.259
2015-04-30,89.642
2015-05-31,88.57
2015-06-30,89.814
2015-07-31,92.741
2015-08-31,92.07
2015-09-30,91.011
2015-10-31,92.044
2015-11-30,90.696
2015-12-31,90.177
2016-01-31,99.146
2016-02-29,102.183
2016-03-31,94.585
2016-04-30,94.286
2016-05-31,94.642
2016-06-30,96.425
2016-07-31,95.265
2016-08-31,94.172
2016-09-30,91.89
2016-10-31,94.24
2016-11-30,92.5
2016-12-31,93.937
2017-01-31,109.571
2017-02-28,98.9
2017-03-31,93.4
2017-04-30,95.823
2017-05-31,96.627
2017-06-30,95.033
2017-07-31,94.421
2017-08-31,93.536
2017-09-30,95.391
2017-10-31,96.04
2017-11-30,95.751
2017-12-31,97.843
2018-01-31,105.318
2018-02-28,108.227
2018-03-31,98.268
2018-04-30,95.894
2018-05-31,96.565
2018-06-30,98.021
2018-07-31,97.694
2018-08-31,94.272
2018-09-30,96.856
2018-10-31,97.598
2018-11-30,97.885
2018-12-31,98.868
2019-01-31,105.87
2019-02-28,102.093
2019-03-31,96.293
2019-04-30,97.393
2019-05-31,98.598
2019-06-30,99.439
2019-07-31,98.157
2019-08-31,99.457
2019-09-30,99.456
2019-10-31,101.965
2019-11-30,98.869
2019-12-31,102.413
2020-01-31,117.441
2020-02-29,103.776
2020-03-31,95.423
2020-04-30,96.319
2020-05-31,96.517
2020-06-30,95.853
2020-07-31,96.578
2020-08-31,99.861
2020-09-30,100.923
2020-10-31,98.237
2020-11-30,98.505
2020-12-31,98.098
2021-01-31,102.237
2021-02-28,106.87
2021-03-31,97.111
2021-04-30,99.49
2021-05-31,101.063
2021-06-30,98.643
2021-07-31,98.015
2021-08-31,100.59
2021-09-30,101.005
2021-10-31,100.232
2021-11-30,101.399
2021-12-31,102.122
2022-01-31,111.715
2022-02-28,99.104
2022-03-31,102.176
2022-04-30,100.823
2022-05-31,103.046
2022-06-30,103.32
2022-07-31,100.995
2022-08-31,97.862
2022-09-30,102.16
2022-10-31,99.628
2022-11-30,96.025
2022-12-31,100.009
2023-01-31,117.349
2023-02-28,114.232
2023-03-31,113.504
2023-04-30,113.126
2023-05-31,114.107
2023-06-30,111.328
2023-07-31,110.891
2023-08-31,110.275
2023-09-30,110.501
2023-10-31,111.008
2023-11-30,110.298
2023-12-31,108.289
2024-01-31,117.779
2024-02-29,119.226
2024-03-31,96.011
2024-04-30,96.497
