date,value
2014-01-31,94.412
2014-02-28,94.412
2014-03-31,95.497
2014-04-30,95.919
2014-05-31,96.53
2014-06-30,96.927
2014-07-31,97.415
2014-08-31,95.159
2014-09-30,94.697
2014-10-31,92.601
2014-11-30,89.091
2014-12-31,82.965
2015-01-31,77.068
2015-02-28,80.501
2015-03-31,89.257
2015-04-30,90.165
2015-05-31,94.078
2015-06-30,95.75
2015-07-31,94.121
2015-08-31,92.232
2015-09-30,90.771
2015-10-31,90.999
2015-11-30,89.698
2015-12-31,87.603
2016-01-31,84.967
2016-02-29,81.813
2016-03-31,83.269
2016-04-30,82.903
2016-05-31,84.434
2016-06-30,86.454
2016-07-31,85.7
2016-08-31,84.54
2016-09-30,86.494
2016-10-31,88.99
2016-11-30,89.517
2016-12-31,91.279
2017-01-31,91.938
2017-02-28,93.555
2017-03-31,92.82
2017-04-30,92.907
2017-05-31,92.692
2017-06-30,92.127
2017-07-31,91.901
2017-08-31,92.983
2017-09-30,94.229
2017-10-31,95.252
2017-11-30,97.234
2017-12-31,96.435
2018-01-31,97.764
2018-02-28,97.71
2018-03-31,97.343
2018-04-30,98.448
2018-05-31,100.104
2018-06-30,100.459
2018-07-31,100.605
2018-08-31,101.011
2018-09-30,102.737
2018-10-31,104.58
2018-11-30,100.937
2018-12-31,97.274
2019-01-31,96.369
2019-02-28,96.608
2019-03-31,98.462
2019-04-30,100.91
2019-05-31,102.038
2019-06-30,99.929
2019-07-31,99.526
2019-08-31,99.463
2019-09-30,100.412
2019-10-31,101.102
2019-11-30,101.891
2019-12-31,103.289
2020-01-31,103.248
2020-02-29,101.208
2020-03-31,96.123
2020-04-30,92.59
2020-05-31,89.223
2020-06-30,89.02
2020-07-31,89.524
2020-08-31,89.504
2020-09-30,89.771
2020-10-31,89.952
2020-11-30,90.171
2020-12-31,91.908
2021-01-31,94.286
2021-02-28,100.129
2021-03-31,106.335
2021-04-30,106.498
2021-05-31,108.045
2021-06-30,109.203
2021-07-31,112.256
2021-08-31,112.399
2021-09-30,112.562
2021-10-31,114.945
2021-11-30,116.844
2021-12-31,115.549
2022-01-31,117.868
2022-02-28,122.855
2022-03-31,134.07
2022-04-30,133.898
2022-05-31,140.56
2022-06-30,148.267
2022-07-31,136.73
2022-08-31,127.613
2022-09-30,125.854
2022-10-31,123.716
2022-11-30,124.302
2022-12-31,120.459
2023-01-31,121.073
2023-02-28,122.581
2023-03-31,122.306
2023-04-30,123.476
2023-05-31,121.65
2023-06-30,122.433
2023-07-31,123.377
2023-08-31,127.573
2023-09-30,130.851
2023-10-31,129.075
2023-11-30,127.101
2023-12-31,124.929
2024-01-31,125.547
2024-02-29,127.402
2024-03-31,127.938
2024-04-30,130.695
