date,value
2014-01-31,96.376
2014-02-28,97.086
2014-03-31,97.695
2014-04-30,96.512
2014-05-31,96.503
2014-06-30,96.224
2014-07-31,96.234
2014-08-31,96.047
2014-09-30,96.079
2014-10-31,96.085
2014-11-30,96.459
2014-12-31,95.786
2015-01-31,96.461
2015-02-28,97.759
2015-03-31,96.291
2015-04-30,96.12
2015-05-31,97.027
2015-06-30,97.425
2015-07-31,94.307
2015-08-31,94.386
2015-09-30,95.534
2015-10-31,95.555
2015-11-30,96.166
2015-12-31,96.368
2016-01-31,99.898
2016-02-29,100.052
2016-03-31,99.462
2016-04-30,99.069
2016-05-31,99.228
2016-06-30,98.688
2016-07-31,98.599
2016-08-31,99.122
2016-09-30,100.218
2016-10-31,100.096
2016-11-30,100.117
2016-12-31,100.117
2017-01-31,100.337
2017-02-28,100.415
2017-03-31,100.419
2017-04-30,100.284
2017-05-31,100.581
2017-06-30,100.332
2017-07-31,100.545
2017-08-31,100.571
2017-09-30,100.54
2017-10-31,100.784
2017-11-30,100.66
2017-12-31,100.422
2018-01-31,100.515
2018-02-28,100.77
2018-03-31,100.056
2018-04-30,100.275
2018-05-31,100.184
2018-06-30,100.23
2018-07-31,100.126
2018-08-31,99.034
2018-09-30,99.986
2018-10-31,99.812
2018-11-30,99.213
2018-12-31,99.878
2019-01-31,99.972
2019-02-28,99.722
2019-03-31,99.591
2019-04-30,99.902
2019-05-31,99.229
2019-06-30,99.964
2019-07-31,99.922
2019-08-31,100.461
2019-09-30,100.235
2019-10-31,100.425
2019-11-30,100.298
2019-12-31,100.28
2020-01-31,100.578
2020-02-29,100.754
2020-03-31,101.007
2020-04-30,101.507
2020-05-31,101.818
2020-06-30,101.702
2020-07-31,101.39
2020-08-31,100.66
2020-09-30,101.73
2020-10-31,102.219
2020-11-30,102.092
2020-12-31,102.059
2021-01-31,101.999
2021-02-28,103.03
2021-03-31,102.664
2021-04-30,102.036
2021-05-31,102.291
2021-06-30,102.23
2021-07-31,102.62
2021-08-31,102.602
2021-09-30,102.833
2021-10-31,102.799
2021-11-30,104.968
2021-12-31,105.562
2022-01-31,106.609
2022-02-28,109.505
2022-03-31,110.012
2022-04-30,119.08
2022-05-31,122.63
2022-06-30,134.235
2022-07-31,137.138
2022-08-31,141.228
2022-09-30,142.506
2022-10-31,148.021
2022-11-30,147.462
2022-12-31,148.992
2023-01-31,149.152
2023-02-28,148.42
2023-03-31,148.401
2023-04-30,147.081
2023-05-31,145.675
2023-06-30,145.214
2023-07-31,145.385
2023-08-31,143.413
2023-09-30,143.035
2023-10-31,142.152
2023-11-30,142.856
2023-12-31,141.217
2024-01-31,143.062
2024-02-29,142.938
2024-03-31,142.528
2024-04-30,142.949
