date,value
1975-03-31,69.8
1975-06-30,65.5
1975-09-30,65.9
1975-12-31,72.8
1976-03-31,71.2
1976-06-30,76.5
1976-09-30,78.7
1976-12-31,77.4
1977-03-31,93.5
1977-06-30,84.5
1977-09-30,88.5
1977-12-31,98.7
1978-03-31,101.0
1978-06-30,113.8
1978-09-30,119.9
1978-12-31,129.1
1979-03-31,119.3
1979-06-30,128.8
1979-09-30,134.0
1979-12-31,141.0
1980-03-31,150.4
1980-06-30,157.3
1980-09-30,155.3
1980-12-31,169.3
1981-03-31,174.0
1981-06-30,185.3
1981-09-30,200.8
1981-12-31,195.7
1982-03-31,192.2
1982-06-30,197.5
1982-09-30,200.5
1982-12-31,222.6
1983-03-31,196.7
1983-06-30,219.5
1983-09-30,217.4
1983-12-31,226.7
1984-03-31,217.2
1984-06-30,240.2
1984-09-30,242.6
1984-12-31,252.4
1985-03-31,236.7
1985-06-30,246.6
1985-09-30,242.3
1985-12-31,238.4
1986-03-31,237.1
1986-06-30,244.6
1986-09-30,238.5
1986-12-31,260.0
1987-03-31,246.6
1987-06-30,277.2
1987-09-30,290.5
1987-12-31,299.6
1988-03-31,315.4
1988-06-30,325.7
1988-09-30,335.0
1988-12-31,373.7
1989-03-31,370.9
1989-06-30,398.2
1989-09-30,397.6
1989-12-31,433.4
1990-03-31,443.4
1990-06-30,457.7
1990-09-30,475.0
1990-12-31,507.2
1991-03-31,498.2
1991-06-30,549.6
1991-09-30,576.0
1991-12-31,583.4
1992-03-31,610.5
1992-06-30,622.7
1992-09-30,638.2
1992-12-31,662.0
1993-03-31,671.0
1993-06-30,748.3
1993-09-30,758.3
1993-12-31,803.2
1994-03-31,760.6
1994-06-30,846.5
1994-09-30,857.4
1994-12-31,868.9
1995-03-31,894.5
1995-06-30,949.2
1995-09-30,988.8
1995-12-31,1027.9
1996-03-31,964.8
1996-06-30,1029.5
1996-09-30,1038.8
1996-12-31,1113.1
1997-03-31,1043.3
1997-06-30,1190.5
1997-09-30,1201.5
1997-12-31,1214.4
1998-03-31,1137.9
1998-06-30,1216.3
1998-09-30,1183.6
1998-12-31,1223.1
1999-03-31,1216.9
1999-06-30,1336.4
1999-09-30,1370.8
1999-12-31,1471.3
2000-03-31,1327.1
2000-06-30,1461.0
2000-09-30,1511.7
2000-12-31,1545.5
2001-03-31,1674.3
2001-06-30,1738.5
2001-09-30,1745.2
2001-12-31,1706.4
2002-03-31,1631.7
2002-06-30,1634.3
2002-09-30,1664.4
2002-12-31,1696.9
2003-03-31,1740.4
2003-06-30,1744.6
2003-09-30,1766.0
2003-12-31,1835.9
2004-03-31,1825.7
2004-06-30,1913.3
2004-09-30,1898.9
2004-12-31,1950.5
2005-03-31,1988.2
2005-06-30,2002.2
2005-09-30,2049.3
2005-12-31,2092.9
2006-03-31,2045.4
2006-06-30,2111.8
2006-09-30,2187.5
2006-12-31,2229.2
2007-03-31,2207.7
2007-06-30,2328.7
2007-09-30,2375.2
2007-12-31,2369.6
2008-03-31,2386.4
2008-06-30,2354.6
2008-09-30,2422.6
2008-12-31,2602.0
2009-03-31,2678.6
2009-06-30,2659.0
2009-09-30,2648.2
2009-12-31,2713.2
2010-03-31,2811.2
2010-06-30,2860.4
2010-09-30,2810.3
2010-12-31,3075.2
2011-03-31,3119.5
2011-06-30,3148.2
2011-09-30,3152.1
2011-12-31,3372.6
2012-03-31,3366.5
2012-06-30,3533.9
2012-09-30,3432.4
2012-12-31,3678.8
2013-03-31,3670.4
2013-06-30,3876.8
2013-09-30,3721.3
2013-12-31,3868.8
2014-03-31,3976.6
2014-06-30,4107.4
2014-09-30,4037.2
2014-12-31,4074.9
2015-03-31,3916.0
2015-06-30,4127.3
2015-09-30,4011.1
2015-12-31,4173.0
2016-03-31,4430.0
2016-06-30,4701.8
2016-09-30,4494.8
2016-12-31,4580.7
2017-03-31,4786.4
2017-06-30,4845.9
2017-09-30,4683.5
2017-12-31,4790.6
2018-03-31,4811.9
2018-06-30,5043.1
2018-09-30,5008.8
2018-12-31,5317.2
2019-03-31,5400.1
2019-06-30,5692.8
2019-09-30,5753.6
2019-12-31,6070.3
2020-03-31,6221.0
2020-06-30,6214.0
2020-09-30,6540.1
2020-12-31,7149.9
2021-03-31,7050.1
2021-06-30,7404.3
2021-09-30,7737.1
2021-12-31,8114.0
2022-03-31,8116.8
2022-06-30,8227.0
2022-09-30,8405.6
2022-12-31,8868.6
2023-03-31,8726.7
2023-06-30,8817.2
2023-09-30,9156.3
2023-12-31,9629.9
2024-03-31,9504.3
