date,value
2005-03-31,1554.5
2005-06-30,1090.6
2005-09-30,1255.3
2005-12-31,1540.0
2006-03-31,1596.7
2006-06-30,1134.7
2006-09-30,1317.9
2006-12-31,1682.8
2007-03-31,1565.8
2007-06-30,1406.9
2007-09-30,1401.3
2007-12-31,1855.7
2008-03-31,2006.6
2008-06-30,1340.8
2008-09-30,1434.6
2008-12-31,1734.1
2009-03-31,1933.9
2009-06-30,1323.3
2009-09-30,1428.6
2009-12-31,1732.9
2010-03-31,2041.7
2010-06-30,1503.5
2010-09-30,1682.2
2010-12-31,2157.0
2011-03-31,2651.7
2011-06-30,1621.2
2011-09-30,1675.2
2011-12-31,2114.8
2012-03-31,2328.4
2012-06-30,1642.6
2012-09-30,1810.4
2012-12-31,2406.0
2013-03-31,2577.3
2013-06-30,1971.9
2013-09-30,2072.7
2013-12-31,2621.8
2014-03-31,2790.8
2014-06-30,1887.1
2014-09-30,2239.7
2014-12-31,2764.4
2015-03-31,3145.5
2015-06-30,2135.6
2015-09-30,2416.0
2015-12-31,2924.9
2016-03-31,3487.0
2016-06-30,2315.5
2016-09-30,2561.9
2016-12-31,3083.7
2017-03-31,3611.7
2017-06-30,2374.9
2017-09-30,2674.7
2017-12-31,3427.0
2018-03-31,3803.4
2018-06-30,2511.2
2018-09-30,2798.3
2018-12-31,3534.7
2019-03-31,4110.8
2019-06-30,2589.8
2019-09-30,3062.4
2019-12-31,3376.1
2020-03-31,4185.4
2020-06-30,2725.9
2020-09-30,2726.4
2020-12-31,3391.9
2021-03-31,4371.9
2021-06-30,2856.0
2021-09-30,3013.0
2021-12-31,4103.0
2022-03-31,4689.1
2022-06-30,2831.7
2022-09-30,3328.8
2022-12-31,4401.6
2023-03-31,4968.2
2023-06-30,3157.0
2023-09-30,3463.6
2023-12-31,4330.8
2024-03-31,4985.9
