date,value
1975-03-31,118.9
1975-06-30,118.2
1975-09-30,123.1
1975-12-31,127.7
1976-03-31,131.7
1976-06-30,132.9
1976-09-30,131.5
1976-12-31,139.9
1977-03-31,145.5
1977-06-30,150.5
1977-09-30,156.9
1977-12-31,153.8
1978-03-31,165.6
1978-06-30,169.1
1978-09-30,180.0
1978-12-31,175.3
1979-03-31,187.8
1979-06-30,196.9
1979-09-30,210.9
1979-12-31,220.4
1980-03-31,232.5
1980-06-30,232.7
1980-09-30,248.7
1980-12-31,245.8
1981-03-31,269.9
1981-06-30,261.7
1981-09-30,283.1
1981-12-31,277.3
1982-03-31,284.9
1982-06-30,295.5
1982-09-30,295.2
1982-12-31,314.5
1983-03-31,347.6
1983-06-30,349.9
1983-09-30,342.8
1983-12-31,367.5
1984-03-31,391.1
1984-06-30,387.8
1984-09-30,397.0
1984-12-31,385.6
1985-03-31,410.2
1985-06-30,373.3
1985-09-30,403.4
1985-12-31,350.8
1986-03-31,394.4
1986-06-30,320.7
1986-09-30,357.5
1986-12-31,371.8
1987-03-31,438.1
1987-06-30,381.9
1987-09-30,501.3
1987-12-31,490.9
1988-03-31,578.8
1988-06-30,516.9
1988-09-30,610.9
1988-12-31,678.9
1989-03-31,936.7
1989-06-30,650.3
1989-09-30,705.2
1989-12-31,888.6
1990-03-31,972.2
1990-06-30,802.2
1990-09-30,728.5
1990-12-31,764.3
1991-03-31,747.0
1991-06-30,784.4
1991-09-30,917.5
1991-12-31,945.6
1992-03-31,1051.1
1992-06-30,1059.9
1992-09-30,1114.9
1992-12-31,1064.2
1993-03-31,1298.5
1993-06-30,1346.1
1993-09-30,1446.8
1993-12-31,1479.7
1994-03-31,1733.5
1994-06-30,1651.1
1994-09-30,2123.7
1994-12-31,1951.9
1995-03-31,2382.8
1995-06-30,1920.8
1995-09-30,2069.1
1995-12-31,2054.8
1996-03-31,2205.8
1996-06-30,2053.7
1996-09-30,2138.3
1996-12-31,2067.7
1997-03-31,2165.0
1997-06-30,2507.8
1997-09-30,2360.5
1997-12-31,2098.5
1998-03-31,1913.3
1998-06-30,1861.7
1998-09-30,1839.6
1998-12-31,1661.9
1999-03-31,1711.3
1999-06-30,2092.0
1999-09-30,2503.3
1999-12-31,2395.4
2000-03-31,2741.1
2000-06-30,2818.4
2000-09-30,2911.6
2000-12-31,2802.1
2001-03-31,2603.5
2001-06-30,2402.0
2001-09-30,2329.3
2001-12-31,2234.4
2002-03-31,2246.2
2002-06-30,2201.8
2002-09-30,2035.7
2002-12-31,2139.9
2003-03-31,2263.5
2003-06-30,2289.5
2003-09-30,2291.0
2003-12-31,2276.9
2004-03-31,2602.6
2004-06-30,2063.6
2004-09-30,2445.9
2004-12-31,2555.7
2005-03-31,2588.5
2005-06-30,2191.1
2005-09-30,2250.6
2005-12-31,2438.0
2006-03-31,2538.9
2006-06-30,2373.6
2006-09-30,2337.1
2006-12-31,2577.1
2007-03-31,3375.8
2007-06-30,3742.6
2007-09-30,4317.6
2007-12-31,4038.2
2008-03-31,3788.9
2008-06-30,3696.9
2008-09-30,3727.4
2008-12-31,3038.8
2009-03-31,2919.2
2009-06-30,3306.4
2009-09-30,3745.3
2009-12-31,3979.4
2010-03-31,4119.7
2010-06-30,4511.3
2010-09-30,4648.3
2010-12-31,4651.3
2011-03-31,4963.4
2011-06-30,5033.9
2011-09-30,5005.7
2011-12-31,4976.7
2012-03-31,4897.1
2012-06-30,5407.0
2012-09-30,5167.2
2012-12-31,5665.8
2013-03-31,5433.0
2013-06-30,5772.8
2013-09-30,5434.3
2013-12-31,5535.3
2014-03-31,5037.7
2014-06-30,5567.3
2014-09-30,5509.6
2014-12-31,5643.4
2015-03-31,5717.4
2015-06-30,6249.2
2015-09-30,6197.1
2015-12-31,6099.6
2016-03-31,6587.1
2016-06-30,6525.8
2016-09-30,6810.1
2016-12-31,6627.6
2017-03-31,6764.5
2017-06-30,7058.5
2017-09-30,7261.8
2017-12-31,7736.7
2018-03-31,6710.5
2018-06-30,7252.4
2018-09-30,6318.8
2018-12-31,6259.3
2019-03-31,6295.6
2019-06-30,6839.3
2019-09-30,6599.0
2019-12-31,6395.9
2020-03-31,6172.6
2020-06-30,3604.4
2020-09-30,5825.5
2020-12-31,6551.7
2021-03-31,7186.7
2021-06-30,7695.1
2021-09-30,7528.1
2021-12-31,7953.2
2022-03-31,7528.2
2022-06-30,8338.0
2022-09-30,8029.2
2022-12-31,7884.5
2023-03-31,8518.4
2023-06-30,8446.8
2023-09-30,8863.8
2023-12-31,8680.4
2024-03-31,8418.9
