date,value
1975-03-31,1073.7
1975-06-30,1104.6
1975-09-30,1165.1
1975-12-31,1231.2
1976-03-31,1232.3
1976-06-30,1260.9
1976-09-30,1300.0
1976-12-31,1308.6
1977-03-31,1354.1
1977-06-30,1374.5
1977-09-30,1394.7
1977-12-31,1398.4
1978-03-31,1451.2
1978-06-30,1469.2
1978-09-30,1524.3
1978-12-31,1617.1
1979-03-31,1637.8
1979-06-30,1771.9
1979-09-30,1885.0
1979-12-31,2020.6
1980-03-31,2241.9
1980-06-30,2338.9
1980-09-30,2369.4
1980-12-31,2458.8
1981-03-31,2527.7
1981-06-30,2644.7
1981-09-30,2782.7
1981-12-31,2930.8
1982-03-31,2932.9
1982-06-30,2880.7
1982-09-30,2978.5
1982-12-31,2993.4
1983-03-31,3143.3
1983-06-30,3376.4
1983-09-30,3463.0
1983-12-31,3562.9
1984-03-31,3674.7
1984-06-30,3779.1
1984-09-30,3791.7
1984-12-31,3865.7
1985-03-31,3713.0
1985-06-30,3396.5
1985-09-30,3306.7
1985-12-31,3118.8
1986-03-31,3298.4
1986-06-30,3484.6
1986-09-30,3464.7
1986-12-31,3558.0
1987-03-31,3534.1
1987-06-30,3691.3
1987-09-30,3834.4
1987-12-31,4014.7
1988-03-31,4271.0
1988-06-30,4483.9
1988-09-30,4682.9
1988-12-31,4707.1
1989-03-31,4769.4
1989-06-30,4907.4
1989-09-30,5017.6
1989-12-31,5215.6
1990-03-31,5168.6
1990-06-30,5378.2
1990-09-30,5599.1
1990-12-31,5827.4
1991-03-31,6393.8
1991-06-30,6326.7
1991-09-30,6508.5
1991-12-31,6560.1
1992-03-31,6559.6
1992-06-30,6703.7
1992-09-30,6927.6
1992-12-31,7349.6
1993-03-31,7605.5
1993-06-30,7802.2
1993-09-30,8039.6
1993-12-31,8157.1
1994-03-31,8513.5
1994-06-30,8778.8
1994-09-30,9016.2
1994-12-31,9089.1
1995-03-31,9127.9
1995-06-30,9671.9
1995-09-30,10124.0
1995-12-31,10400.5
1996-03-31,10894.4
1996-06-30,10729.8
1996-09-30,10493.3
1996-12-31,10918.3
1997-03-31,10814.1
1997-06-30,11395.7
1997-09-30,12024.6
1997-12-31,12111.9
1998-03-31,12052.5
1998-06-30,11718.9
1998-09-30,11380.1
1998-12-31,11086.4
1999-03-31,11220.1
1999-06-30,11336.7
1999-09-30,11322.6
1999-12-31,11414.6
2000-03-31,12293.1
2000-06-30,12895.6
2000-09-30,14071.4
2000-12-31,14589.4
2001-03-31,13282.5
2001-06-30,12423.8
2001-09-30,11770.4
2001-12-31,11684.8
2002-03-31,12386.7
2002-06-30,13131.2
2002-09-30,12917.7
2002-12-31,12643.5
2003-03-31,12750.4
2003-06-30,12361.5
2003-09-30,12830.0
2003-12-31,13517.3
2004-03-31,14501.5
2004-06-30,15319.1
2004-09-30,15884.1
2004-12-31,16212.5
2005-03-31,16065.3
2005-06-30,16344.8
2005-09-30,16832.4
2005-12-31,17548.6
2006-03-31,17841.3
2006-06-30,18429.3
2006-09-30,18321.3
2006-12-31,18433.0
2007-03-31,19373.0
2007-06-30,19130.5
2007-09-30,19239.4
2007-12-31,19349.4
2008-03-31,19014.7
2008-06-30,18150.3
2008-09-30,18266.4
2008-12-31,17176.0
2009-03-31,16800.4
2009-06-30,18381.3
2009-09-30,20090.9
2009-12-31,21118.9
2010-03-31,21649.2
2010-06-30,22094.4
2010-09-30,21388.7
2010-12-31,22262.7
2011-03-31,22722.9
2011-06-30,21824.0
2011-09-30,22041.4
2011-12-31,22397.4
2012-03-31,23483.9
2012-06-30,23540.5
2012-09-30,22591.2
2012-12-31,22750.4
2013-03-31,21791.4
2013-06-30,22273.8
2013-09-30,22890.7
2013-12-31,23334.9
2014-03-31,23840.8
2014-06-30,23855.0
2014-09-30,24512.8
2014-12-31,24304.0
2015-03-31,25459.3
2015-06-30,26112.1
2015-09-30,25907.9
2015-12-31,25377.7
2016-03-31,24588.7
2016-06-30,25605.5
2016-09-30,25655.8
2016-12-31,26496.8
2017-03-31,27441.3
2017-06-30,26961.5
2017-09-30,27666.3
2017-12-31,29233.7
2018-03-31,30041.5
2018-06-30,31983.3
2018-09-30,33272.4
2018-12-31,33676.1
2019-03-31,32609.0
2019-06-30,31899.1
2019-09-30,30936.8
2019-12-31,28541.3
2020-03-31,32004.0
2020-06-30,25329.9
2020-09-30,28007.1
2020-12-31,27134.3
2021-03-31,34370.6
2021-06-30,35807.4
2021-09-30,36772.0
2021-12-31,35108.5
2022-03-31,42375.0
2022-06-30,42756.8
2022-09-30,40479.5
2022-12-31,37953.8
2023-03-31,39003.4
2023-06-30,37453.6
2023-09-30,37372.1
2023-12-31,37227.5
2024-03-31,39361.5
