date,value
1975-03-31,71.3
1975-06-30,65.6
1975-09-30,66.1
1975-12-31,70.9
1976-03-31,72.9
1976-06-30,76.5
1976-09-30,78.9
1976-12-31,75.5
1977-03-31,95.9
1977-06-30,84.2
1977-09-30,88.7
1977-12-31,96.5
1978-03-31,103.5
1978-06-30,113.2
1978-09-30,120.1
1978-12-31,126.7
1979-03-31,122.1
1979-06-30,128.0
1979-09-30,134.2
1979-12-31,138.7
1980-03-31,153.6
1980-06-30,156.4
1980-09-30,155.3
1980-12-31,166.9
1981-03-31,177.6
1981-06-30,184.1
1981-09-30,200.9
1981-12-31,192.8
1982-03-31,196.6
1982-06-30,196.0
1982-09-30,200.4
1982-12-31,219.4
1983-03-31,201.7
1983-06-30,217.3
1983-09-30,217.6
1983-12-31,222.7
1984-03-31,223.7
1984-06-30,237.2
1984-09-30,242.9
1984-12-31,248.0
1985-03-31,244.0
1985-06-30,243.1
1985-09-30,243.3
1985-12-31,233.8
1986-03-31,244.2
1986-06-30,241.2
1986-09-30,239.8
1986-12-31,255.3
1987-03-31,252.7
1987-06-30,274.0
1987-09-30,292.9
1987-12-31,293.5
1988-03-31,322.6
1988-06-30,322.6
1988-09-30,337.9
1988-12-31,366.2
1989-03-31,378.4
1989-06-30,395.5
1989-09-30,400.7
1989-12-31,424.4
1990-03-31,453.0
1990-06-30,454.6
1990-09-30,477.3
1990-12-31,497.4
1991-03-31,510.2
1991-06-30,545.5
1991-09-30,576.8
1991-12-31,572.6
1992-03-31,628.6
1992-06-30,616.4
1992-09-30,636.4
1992-12-31,650.9
1993-03-31,694.0
1993-06-30,739.2
1993-09-30,754.0
1993-12-31,789.7
1994-03-31,790.9
1994-06-30,833.7
1994-09-30,852.0
1994-12-31,852.9
1995-03-31,934.3
1995-06-30,932.7
1995-09-30,982.7
1995-12-31,1008.2
1996-03-31,1009.8
1996-06-30,1010.1
1996-09-30,1033.1
1996-12-31,1091.5
1997-03-31,1091.5
1997-06-30,1167.7
1997-09-30,1195.8
1997-12-31,1193.3
1998-03-31,1185.6
1998-06-30,1194.2
1998-09-30,1178.8
1998-12-31,1205.6
1999-03-31,1260.0
1999-06-30,1315.2
1999-09-30,1365.4
1999-12-31,1457.5
2000-03-31,1361.3
2000-06-30,1444.5
2000-09-30,1506.0
2000-12-31,1535.6
2001-03-31,1704.3
2001-06-30,1725.6
2001-09-30,1740.6
2001-12-31,1698.3
2002-03-31,1650.5
2002-06-30,1628.0
2002-09-30,1662.2
2002-12-31,1687.7
2003-03-31,1755.9
2003-06-30,1741.2
2003-09-30,1765.3
2003-12-31,1825.0
2004-03-31,1838.5
2004-06-30,1912.8
2004-09-30,1899.2
2004-12-31,1936.7
2005-03-31,2001.2
2005-06-30,2003.3
2005-09-30,2050.9
2005-12-31,2078.7
2006-03-31,2052.8
2006-06-30,2116.9
2006-09-30,2191.4
2006-12-31,2214.9
2007-03-31,2208.3
2007-06-30,2336.9
2007-09-30,2385.5
2007-12-31,2355.0
2008-03-31,2377.3
2008-06-30,2364.0
2008-09-30,2442.8
2008-12-31,2583.7
2009-03-31,2662.7
2009-06-30,2663.4
2009-09-30,2686.0
2009-12-31,2688.3
2010-03-31,2795.3
2010-06-30,2853.5
2010-09-30,2864.1
2010-12-31,3043.1
2011-03-31,3108.9
2011-06-30,3124.1
2011-09-30,3222.0
2011-12-31,3335.8
2012-03-31,3369.1
2012-06-30,3486.4
2012-09-30,3509.3
2012-12-31,3647.9
2013-03-31,3684.4
2013-06-30,3803.7
2013-09-30,3803.5
2013-12-31,3849.4
2014-03-31,3997.9
2014-06-30,4014.1
2014-09-30,4121.3
2014-12-31,4073.1
2015-03-31,3932.4
2015-06-30,4028.4
2015-09-30,4091.2
2015-12-31,4179.4
2016-03-31,4444.2
2016-06-30,4593.8
2016-09-30,4580.5
2016-12-31,4586.2
2017-03-31,4797.2
2017-06-30,4749.7
2017-09-30,4770.1
2017-12-31,4778.7
2018-03-31,4824.8
2018-06-30,4968.5
2018-09-30,5092.0
2018-12-31,5280.1
2019-03-31,5417.3
2019-06-30,5646.2
2019-09-30,5834.3
2019-12-31,5994.9
2020-03-31,6250.9
2020-06-30,6203.4
2020-09-30,6609.4
2020-12-31,7034.8
2021-03-31,7091.0
2021-06-30,7428.2
2021-09-30,7802.2
2021-12-31,7960.2
2022-03-31,8168.8
2022-06-30,8282.9
2022-09-30,8461.1
2022-12-31,8689.2
2023-03-31,8785.1
2023-06-30,8890.5
2023-09-30,9214.0
2023-12-31,9425.5
2024-03-31,9569.9
