date,value
1975-03-31,2024.6
1975-06-30,2069.7
1975-09-30,2096.6
1975-12-31,2131.3
1976-03-31,2185.5
1976-06-30,2212.8
1976-09-30,2273.1
1976-12-31,2325.4
1977-03-31,2378.2
1977-06-30,2420.5
1977-09-30,2472.3
1977-12-31,2559.7
1978-03-31,2664.3
1978-06-30,2720.1
1978-09-30,2836.2
1978-12-31,2931.6
1979-03-31,2945.8
1979-06-30,3065.2
1979-09-30,3196.1
1979-12-31,3327.0
1980-03-31,3558.5
1980-06-30,3651.8
1980-09-30,3819.0
1980-12-31,3976.6
1981-03-31,4172.6
1981-06-30,4340.0
1981-09-30,4543.5
1981-12-31,4675.2
1982-03-31,4863.7
1982-06-30,4998.6
1982-09-30,5109.1
1982-12-31,5420.9
1983-03-31,5302.7
1983-06-30,5518.7
1983-09-30,5679.1
1983-12-31,5742.1
1984-03-31,5802.4
1984-06-30,5891.0
1984-09-30,6080.8
1984-12-31,6110.4
1985-03-31,6267.9
1985-06-30,6197.8
1985-09-30,6054.7
1985-12-31,5936.2
1986-03-31,5976.7
1986-06-30,5936.5
1986-09-30,5996.6
1986-12-31,6265.3
1987-03-31,6345.1
1987-06-30,6591.0
1987-09-30,6805.1
1987-12-31,7122.8
1988-03-31,7150.2
1988-06-30,7527.6
1988-09-30,7853.2
1988-12-31,8364.0
1989-03-31,8090.6
1989-06-30,8944.4
1989-09-30,9314.7
1989-12-31,9575.2
1990-03-31,10421.0
1990-06-30,10535.2
1990-09-30,10776.9
1990-12-31,11083.1
1991-03-31,11254.0
1991-06-30,11616.0
1991-09-30,11847.1
1991-12-31,11973.6
1992-03-31,12139.0
1992-06-30,12272.5
1992-09-30,12690.9
1992-12-31,13009.9
1993-03-31,13406.7
1993-06-30,14064.5
1993-09-30,14409.0
1993-12-31,15399.2
1994-03-31,15705.6
1994-06-30,15837.2
1994-09-30,16601.9
1994-12-31,17181.5
1995-03-31,17104.8
1995-06-30,17680.1
1995-09-30,18426.5
1995-12-31,18653.0
1996-03-31,19307.8
1996-06-30,19458.3
1996-09-30,19702.4
1996-12-31,20397.7
1997-03-31,21346.9
1997-06-30,21836.6
1997-09-30,22085.9
1997-12-31,21913.0
1998-03-31,21433.7
1998-06-30,21139.8
1998-09-30,20805.6
1998-12-31,20481.0
1999-03-31,20396.7
1999-06-30,21742.7
1999-09-30,21920.2
1999-12-31,22450.9
2000-03-31,22719.5
2000-06-30,23380.0
2000-09-30,24252.5
2000-12-31,24353.2
2001-03-31,24783.8
2001-06-30,24349.3
2001-09-30,23753.8
2001-12-31,23505.5
2002-03-31,24903.0
2002-06-30,25106.0
2002-09-30,25121.5
2002-12-31,25228.8
2003-03-31,25850.6
2003-06-30,24571.9
2003-09-30,26121.1
2003-12-31,26951.7
2004-03-31,28327.9
2004-06-30,28679.2
2004-09-30,29579.0
2004-12-31,30202.2
2005-03-31,30863.8
2005-06-30,31978.3
2005-09-30,32993.4
2005-12-31,34054.9
2006-03-31,34563.9
2006-06-30,35609.2
2006-09-30,37049.3
2006-12-31,38886.9
2007-03-31,40179.0
2007-06-30,43129.5
2007-09-30,43925.4
2007-12-31,44974.3
2008-03-31,44817.7
2008-06-30,44988.2
2008-09-30,45069.7
2008-12-31,42300.9
2009-03-31,43312.7
2009-06-30,44721.7
2009-09-30,45980.4
2009-12-31,47631.3
2010-03-31,50367.3
2010-06-30,52225.1
2010-09-30,53171.1
2010-12-31,54774.0
2011-03-31,56218.7
2011-06-30,56462.1
2011-09-30,58183.1
2011-12-31,57944.0
2012-03-31,59558.3
2012-06-30,60118.9
2012-09-30,59158.0
2012-12-31,60551.7
2013-03-31,63011.3
2013-06-30,63803.9
2013-09-30,63997.1
2013-12-31,64243.2
2014-03-31,64596.0
2014-06-30,65190.7
2014-09-30,65714.3
2014-12-31,67249.2
2015-03-31,68257.1
2015-06-30,68587.7
2015-09-30,70327.3
2015-12-31,70830.6
2016-03-31,71273.4
2016-06-30,72551.2
2016-09-30,73862.4
2016-12-31,76042.1
2017-03-31,78142.6
2017-06-30,78176.1
2017-09-30,78654.1
2017-12-31,80933.2
2018-03-31,81876.1
2018-06-30,82995.8
2018-09-30,84924.2
2018-12-31,84783.2
2019-03-31,85354.4
2019-06-30,85776.9
2019-09-30,87083.3
2019-12-31,87595.9
2020-03-31,85872.8
2020-06-30,76197.9
2020-09-30,81192.9
2020-12-31,85512.2
2021-03-31,93014.6
2021-06-30,95194.9
2021-09-30,98638.0
2021-12-31,104497.7
2022-03-31,114865.6
2022-06-30,120806.1
2022-09-30,119940.6
2022-12-31,115842.3
2023-03-31,112916.1
2023-06-30,115088.0
2023-09-30,117006.4
2023-12-31,119203.6
2024-03-31,123576.4
