date,value
1975-03-31,701.9
1975-06-30,717.6
1975-09-30,701.3
1975-12-31,698.5
1976-03-31,705.7
1976-06-30,725.3
1976-09-30,743.7
1976-12-31,753.5
1977-03-31,776.8
1977-06-30,796.7
1977-09-30,809.2
1977-12-31,835.0
1978-03-31,857.1
1978-06-30,856.9
1978-09-30,897.6
1978-12-31,904.1
1979-03-31,919.0
1979-06-30,949.6
1979-09-30,999.3
1979-12-31,1008.2
1980-03-31,1023.9
1980-06-30,1051.0
1980-09-30,1069.7
1980-12-31,1086.2
1981-03-31,1081.2
1981-06-30,1086.2
1981-09-30,1082.1
1981-12-31,1094.1
1982-03-31,1169.0
1982-06-30,1161.4
1982-09-30,1170.1
1982-12-31,1177.9
1983-03-31,1188.0
1983-06-30,1190.7
1983-09-30,1234.0
1983-12-31,1253.3
1984-03-31,1241.4
1984-06-30,1211.9
1984-09-30,1255.0
1984-12-31,1274.7
1985-03-31,1249.8
1985-06-30,1189.7
1985-09-30,1136.8
1985-12-31,1115.0
1986-03-31,1147.3
1986-06-30,1143.2
1986-09-30,1165.6
1986-12-31,1202.1
1987-03-31,1191.2
1987-06-30,1304.0
1987-09-30,1342.5
1987-12-31,1398.6
1988-03-31,1395.2
1988-06-30,1537.8
1988-09-30,1595.3
1988-12-31,1646.2
1989-03-31,1381.4
1989-06-30,1741.6
1989-09-30,1817.5
1989-12-31,1813.1
1990-03-31,2207.0
1990-06-30,2112.8
1990-09-30,2096.0
1990-12-31,2245.8
1991-03-31,2433.0
1991-06-30,2417.6
1991-09-30,2484.8
1991-12-31,2460.7
1992-03-31,2383.3
1992-06-30,2405.7
1992-09-30,2484.5
1992-12-31,2601.5
1993-03-31,2875.8
1993-06-30,2932.2
1993-09-30,3052.4
1993-12-31,3177.3
1994-03-31,3265.3
1994-06-30,3360.0
1994-09-30,3479.5
1994-12-31,3587.1
1995-03-31,3635.6
1995-06-30,3773.2
1995-09-30,3928.3
1995-12-31,4025.3
1996-03-31,4187.0
1996-06-30,4144.0
1996-09-30,4200.1
1996-12-31,4421.7
1997-03-31,4402.3
1997-06-30,4447.9
1997-09-30,4469.1
1997-12-31,4213.3
1998-03-31,4257.8
1998-06-30,4039.7
1998-09-30,3929.2
1998-12-31,3981.5
1999-03-31,4206.2
1999-06-30,4593.3
1999-09-30,4646.0
1999-12-31,4941.2
2000-03-31,4865.2
2000-06-30,5084.4
2000-09-30,5393.9
2000-12-31,5362.5
2001-03-31,5220.9
2001-06-30,5038.1
2001-09-30,4879.0
2001-12-31,4967.6
2002-03-31,5256.7
2002-06-30,5539.6
2002-09-30,5724.2
2002-12-31,5707.4
2003-03-31,5751.0
2003-06-30,5520.0
2003-09-30,5615.1
2003-12-31,5942.9
2004-03-31,6391.7
2004-06-30,6739.9
2004-09-30,7078.8
2004-12-31,7428.9
2005-03-31,7966.8
2005-06-30,8418.1
2005-09-30,8920.2
2005-12-31,9274.0
2006-03-31,9660.2
2006-06-30,10130.8
2006-09-30,10809.3
2006-12-31,11367.4
2007-03-31,11681.1
2007-06-30,12353.5
2007-09-30,12499.6
2007-12-31,12535.8
2008-03-31,11686.8
2008-06-30,11533.9
2008-09-30,11652.4
2008-12-31,10295.6
2009-03-31,11427.0
2009-06-30,12400.7
2009-09-30,13017.5
2009-12-31,13519.5
2010-03-31,14260.2
2010-06-30,14607.7
2010-09-30,14823.3
2010-12-31,15495.2
2011-03-31,16437.8
2011-06-30,16990.3
2011-09-30,17338.4
2011-12-31,17232.0
2012-03-31,17203.1
2012-06-30,17373.2
2012-09-30,16450.9
2012-12-31,16581.9
2013-03-31,17413.7
2013-06-30,17041.7
2013-09-30,17192.2
2013-12-31,16792.9
2014-03-31,16554.8
2014-06-30,16389.5
2014-09-30,15888.2
2014-12-31,15834.6
2015-03-31,15848.2
2015-06-30,16174.2
2015-09-30,16724.3
2015-12-31,16726.6
2016-03-31,16485.0
2016-06-30,17930.6
2016-09-30,19011.2
2016-12-31,20464.6
2017-03-31,21048.5
2017-06-30,19945.6
2017-09-30,19926.5
2017-12-31,21192.1
2018-03-31,21321.0
2018-06-30,22035.4
2018-09-30,23116.7
2018-12-31,22589.9
2019-03-31,22947.1
2019-06-30,22703.8
2019-09-30,22985.1
2019-12-31,22831.1
2020-03-31,22711.4
2020-06-30,21664.8
2020-09-30,22471.5
2020-12-31,23432.4
2021-03-31,26295.7
2021-06-30,27766.1
2021-09-30,28743.9
2021-12-31,30477.3
2022-03-31,32658.7
2022-06-30,36719.9
2022-09-30,36149.3
2022-12-31,34835.4
2023-03-31,32645.4
2023-06-30,36312.7
2023-09-30,38952.8
2023-12-31,41834.3
2024-03-31,37888.7
