date,value
2005-03-31,587.5
2005-06-30,624.0
2005-09-30,647.4
2005-12-31,642.7
2006-03-31,609.4
2006-06-30,626.2
2006-09-30,663.0
2006-12-31,671.4
2007-03-31,657.1
2007-06-30,667.1
2007-09-30,679.3
2007-12-31,671.9
2008-03-31,648.3
2008-06-30,639.4
2008-09-30,631.7
2008-12-31,626.6
2009-03-31,567.9
2009-06-30,568.2
2009-09-30,641.9
2009-12-31,681.2
2010-03-31,663.7
2010-06-30,703.7
2010-09-30,801.5
2010-12-31,846.5
2011-03-31,831.3
2011-06-30,866.3
2011-09-30,919.8
2011-12-31,907.9
2012-03-31,887.4
2012-06-30,875.4
2012-09-30,889.6
2012-12-31,858.1
2013-03-31,957.1
2013-06-30,887.8
2013-09-30,870.9
2013-12-31,844.0
2014-03-31,871.8
2014-06-30,889.4
2014-09-30,946.2
2014-12-31,923.7
2015-03-31,879.7
2015-06-30,867.7
2015-09-30,941.1
2015-12-31,916.2
2016-03-31,925.3
2016-06-30,907.4
2016-09-30,991.8
2016-12-31,929.5
2017-03-31,950.4
2017-06-30,933.6
2017-09-30,1004.5
2017-12-31,973.8
2018-03-31,1000.3
2018-06-30,1019.8
2018-09-30,1095.7
2018-12-31,1029.1
2019-03-31,1015.8
2019-06-30,977.2
2019-09-30,1060.5
2019-12-31,1032.4
2020-03-31,684.5
2020-06-30,754.5
2020-09-30,899.6
2020-12-31,834.8
2021-03-31,681.7
2021-06-30,723.8
2021-09-30,759.8
2021-12-31,762.0
2022-03-31,620.0
2022-06-30,707.3
2022-09-30,808.3
2022-12-31,856.7
2023-03-31,759.8
2023-06-30,813.9
2023-09-30,910.5
2023-12-31,869.5
2024-03-31,869.1
