date,value
2005-03-31,2656.7
2005-06-30,2759.7
2005-09-30,2837.1
2005-12-31,2900.9
2006-03-31,2658.1
2006-06-30,2750.7
2006-09-30,2796.4
2006-12-31,2859.2
2007-03-31,2867.2
2007-06-30,3064.1
2007-09-30,3161.7
2007-12-31,3237.8
2008-03-31,3207.7
2008-06-30,3367.4
2008-09-30,3475.8
2008-12-31,3517.1
2009-03-31,3410.1
2009-06-30,3672.4
2009-09-30,3765.4
2009-12-31,3926.7
2010-03-31,3869.1
2010-06-30,4118.9
2010-09-30,4079.2
2010-12-31,4249.9
2011-03-31,4078.1
2011-06-30,4129.0
2011-09-30,4441.7
2011-12-31,4210.9
2012-03-31,4127.5
2012-06-30,4252.1
2012-09-30,4419.2
2012-12-31,4468.2
2013-03-31,4457.0
2013-06-30,4659.1
2013-09-30,4809.1
2013-12-31,4802.3
2014-03-31,4553.2
2014-06-30,4607.9
2014-09-30,4663.5
2014-12-31,4637.1
2015-03-31,4583.5
2015-06-30,4624.5
2015-09-30,4819.8
2015-12-31,4753.7
2016-03-31,4612.1
2016-06-30,4525.2
2016-09-30,4632.9
2016-12-31,4472.2
2017-03-31,4180.4
2017-06-30,4283.7
2017-09-30,4224.7
2017-12-31,4213.6
2018-03-31,4065.3
2018-06-30,4265.5
2018-09-30,4361.3
2018-12-31,4277.2
2019-03-31,4293.6
2019-06-30,4224.5
2019-09-30,4252.3
2019-12-31,4271.3
2020-03-31,4056.6
2020-06-30,3069.9
2020-09-30,3499.2
2020-12-31,4342.1
2021-03-31,4508.0
2021-06-30,4610.7
2021-09-30,4768.3
2021-12-31,4973.1
2022-03-31,4992.4
2022-06-30,5091.5
2022-09-30,5331.4
2022-12-31,5494.9
2023-03-31,5335.4
2023-06-30,5580.4
2023-09-30,5520.8
2023-12-31,5503.0
2024-03-31,5369.3
