date,value
1975-03-31,1454.5
1975-06-30,1509.8
1975-09-30,1580.4
1975-12-31,1527.0
1976-03-31,1490.7
1976-06-30,1456.4
1976-09-30,1527.0
1976-12-31,1466.0
1977-03-31,1488.8
1977-06-30,1471.6
1977-09-30,1546.0
1977-12-31,1538.4
1978-03-31,1464.0
1978-06-30,1460.5
1978-09-30,1512.0
1978-12-31,1505.5
1979-03-31,1486.4
1979-06-30,1571.7
1979-09-30,1598.2
1979-12-31,1649.0
1980-03-31,1554.7
1980-06-30,1640.9
1980-09-30,1671.8
1980-12-31,1755.4
1981-03-31,1598.7
1981-06-30,1673.3
1981-09-30,1788.6
1981-12-31,1849.2
1982-03-31,2064.6
1982-06-30,2135.9
1982-09-30,2160.5
1982-12-31,2197.5
1983-03-31,2075.3
1983-06-30,2139.1
1983-09-30,2184.1
1983-12-31,2236.5
1984-03-31,2104.0
1984-06-30,2145.2
1984-09-30,2187.5
1984-12-31,2221.8
1985-03-31,2231.8
1985-06-30,2437.6
1985-09-30,2275.1
1985-12-31,2309.6
1986-03-31,2265.0
1986-06-30,2065.7
1986-09-30,2136.1
1986-12-31,2594.4
1987-03-31,2534.5
1987-06-30,2283.9
1987-09-30,2390.9
1987-12-31,2701.0
1988-03-31,2780.7
1988-06-30,2801.8
1988-09-30,2915.3
1988-12-31,2997.0
1989-03-31,3081.6
1989-06-30,3190.0
1989-09-30,3312.5
1989-12-31,3271.3
1990-03-31,3297.3
1990-06-30,3424.1
1990-09-30,3448.6
1990-12-31,3466.3
1991-03-31,3593.5
1991-06-30,3635.8
1991-09-30,3676.4
1991-12-31,3705.6
1992-03-31,3970.3
1992-06-30,4023.8
1992-09-30,4035.7
1992-12-31,4027.6
1993-03-31,4164.7
1993-06-30,4240.5
1993-09-30,4251.8
1993-12-31,4289.3
1994-03-31,4626.6
1994-06-30,4620.8
1994-09-30,4704.5
1994-12-31,4773.9
1995-03-31,4642.8
1995-06-30,4853.8
1995-09-30,4934.3
1995-12-31,5005.4
1996-03-31,5059.5
1996-06-30,5330.1
1996-09-30,5297.5
1996-12-31,5410.1
1997-03-31,5412.7
1997-06-30,5664.8
1997-09-30,5943.2
1997-12-31,6071.4
1998-03-31,5854.1
1998-06-30,6079.5
1998-09-30,6043.6
1998-12-31,5860.5
1999-03-31,5764.3
1999-06-30,6100.8
1999-09-30,6073.5
1999-12-31,6053.1
2000-03-31,6097.4
2000-06-30,6345.9
2000-09-30,6369.8
2000-12-31,6244.7
2001-03-31,6170.5
2001-06-30,6310.2
2001-09-30,6291.0
2001-12-31,6166.1
2002-03-31,6362.0
2002-06-30,6648.2
2002-09-30,6668.7
2002-12-31,6713.6
2003-03-31,6590.5
2003-06-30,6623.6
2003-09-30,6871.9
2003-12-31,6945.0
2004-03-31,7044.3
2004-06-30,7254.9
2004-09-30,7302.5
2004-12-31,7424.6
2005-03-31,7617.3
2005-06-30,7882.1
2005-09-30,8064.8
2005-12-31,8119.0
2006-03-31,8049.2
2006-06-30,8276.0
2006-09-30,8536.9
2006-12-31,8844.2
2007-03-31,9128.0
2007-06-30,9622.7
2007-09-30,9890.2
2007-12-31,10082.2
2008-03-31,10320.0
2008-06-30,10481.6
2008-09-30,10711.3
2008-12-31,10722.0
2009-03-31,10583.2
2009-06-30,10788.2
2009-09-30,11166.2
2009-12-31,11404.5
2010-03-31,11780.1
2010-06-30,11905.0
2010-09-30,11826.1
2010-12-31,12256.0
2011-03-31,12255.1
2011-06-30,12508.4
2011-09-30,13193.2
2011-12-31,13320.7
2012-03-31,13004.0
2012-06-30,13293.7
2012-09-30,13385.8
2012-12-31,13862.1
2013-03-31,13656.9
2013-06-30,14218.7
2013-09-30,14361.2
2013-12-31,14204.9
2014-03-31,13644.9
2014-06-30,14444.1
2014-09-30,14686.5
2014-12-31,15115.6
2015-03-31,14573.2
2015-06-30,15497.0
2015-09-30,16167.4
2015-12-31,16428.8
2016-03-31,16044.4
2016-06-30,16331.6
2016-09-30,16631.4
2016-12-31,16559.0
2017-03-31,16052.0
2017-06-30,16758.8
2017-09-30,16981.3
2017-12-31,17076.7
2018-03-31,16672.7
2018-06-30,17157.3
2018-09-30,17400.0
2018-12-31,17222.4
2019-03-31,15962.5
2019-06-30,16269.1
2019-09-30,16724.6
2019-12-31,16852.0
2020-03-31,15664.9
2020-06-30,12949.1
2020-09-30,14027.7
2020-12-31,14916.7
2021-03-31,14315.9
2021-06-30,14678.7
2021-09-30,15305.6
2021-12-31,16114.6
2022-03-31,15758.2
2022-06-30,16383.4
2022-09-30,17022.7
2022-12-31,17991.2
2023-03-31,16532.3
2023-06-30,16961.8
2023-09-30,17359.2
2023-12-31,17866.4
2024-03-31,16759.8
