date,value
2005-03-31,608.5
2005-06-30,629.2
2005-09-30,631.4
2005-12-31,633.9
2006-03-31,627.1
2006-06-30,631.2
2006-09-30,651.1
2006-12-31,660.1
2007-03-31,673.4
2007-06-30,675.9
2007-09-30,667.3
2007-12-31,657.6
2008-03-31,663.7
2008-06-30,653.4
2008-09-30,619.2
2008-12-31,608.2
2009-03-31,584.0
2009-06-30,585.1
2009-09-30,624.6
2009-12-31,661.1
2010-03-31,684.0
2010-06-30,724.6
2010-09-30,777.3
2010-12-31,826.7
2011-03-31,856.0
2011-06-30,884.7
2011-09-30,892.7
2011-12-31,898.8
2012-03-31,906.7
2012-06-30,886.6
2012-09-30,866.9
2012-12-31,855.8
2013-03-31,973.6
2013-06-30,896.8
2013-09-30,848.9
2013-12-31,844.9
2014-03-31,882.8
2014-06-30,904.6
2014-09-30,917.3
2014-12-31,924.1
2015-03-31,890.3
2015-06-30,889.0
2015-09-30,906.4
2015-12-31,919.0
2016-03-31,934.4
2016-06-30,933.6
2016-09-30,950.6
2016-12-31,935.5
2017-03-31,958.5
2017-06-30,961.4
2017-09-30,964.0
2017-12-31,975.4
2018-03-31,1010.9
2018-06-30,1056.2
2018-09-30,1048.5
2018-12-31,1022.5
2019-03-31,1031.5
2019-06-30,1019.8
2019-09-30,1014.3
2019-12-31,1012.1
2020-03-31,700.7
2020-06-30,792.1
2020-09-30,858.1
2020-12-31,811.0
2021-03-31,705.8
2021-06-30,756.3
2021-09-30,726.6
2021-12-31,734.9
2022-03-31,648.7
2022-06-30,736.9
2022-09-30,770.0
2022-12-31,824.3
2023-03-31,803.2
2023-06-30,844.7
2023-09-30,863.9
2023-12-31,837.4
2024-03-31,921.8
