date,value
1975-03-31,7546.0
1975-06-30,7681.5
1975-09-30,7836.6
1975-12-31,7948.1
1976-03-31,8169.7
1976-06-30,8247.1
1976-09-30,8408.2
1976-12-31,8496.3
1977-03-31,8683.5
1977-06-30,8863.5
1977-09-30,8953.8
1977-12-31,9103.7
1978-03-31,9177.0
1978-06-30,9396.3
1978-09-30,9762.4
1978-12-31,10028.3
1979-03-31,10053.3
1979-06-30,10384.7
1979-09-30,10575.1
1979-12-31,11026.3
1980-03-31,11205.9
1980-06-30,11432.5
1980-09-30,11686.6
1980-12-31,11983.0
1981-03-31,12337.7
1981-06-30,12723.6
1981-09-30,13001.6
1981-12-31,13259.3
1982-03-31,13429.9
1982-06-30,13643.7
1982-09-30,13848.0
1982-12-31,14052.0
1983-03-31,14418.3
1983-06-30,14726.5
1983-09-30,15031.8
1983-12-31,15484.2
1984-03-31,15973.6
1984-06-30,16163.5
1984-09-30,16354.8
1984-12-31,16413.1
1985-03-31,16603.2
1985-06-30,16148.5
1985-09-30,15967.7
1985-12-31,15797.1
1986-03-31,15949.6
1986-06-30,16156.2
1986-09-30,16413.0
1986-12-31,16833.6
1987-03-31,17245.9
1987-06-30,17794.4
1987-09-30,18413.2
1987-12-31,18947.9
1988-03-31,19161.1
1988-06-30,19936.0
1988-09-30,20467.2
1988-12-31,21002.3
1989-03-31,21030.4
1989-06-30,22231.9
1989-09-30,22488.5
1989-12-31,23001.2
1990-03-31,23950.0
1990-06-30,24200.6
1990-09-30,24472.5
1990-12-31,24863.6
1991-03-31,25457.6
1991-06-30,25819.2
1991-09-30,26244.2
1991-12-31,26456.1
1992-03-31,26919.1
1992-06-30,27242.4
1992-09-30,27973.8
1992-12-31,28725.1
1993-03-31,29362.8
1993-06-30,30626.7
1993-09-30,31160.6
1993-12-31,32391.3
1994-03-31,33391.2
1994-06-30,33772.9
1994-09-30,34809.2
1994-12-31,35324.4
1995-03-31,35181.3
1995-06-30,36239.2
1995-09-30,37676.2
1995-12-31,38043.3
1996-03-31,39337.5
1996-06-30,39287.4
1996-09-30,39277.0
1996-12-31,40335.0
1997-03-31,41566.8
1997-06-30,42937.1
1997-09-30,43615.3
1997-12-31,43258.7
1998-03-31,42144.3
1998-06-30,41830.6
1998-09-30,41485.7
1998-12-31,42225.7
1999-03-31,42973.1
1999-06-30,44059.2
1999-09-30,44901.5
1999-12-31,45276.7
2000-03-31,46764.0
2000-06-30,47666.1
2000-09-30,49242.2
2000-12-31,49548.7
2001-03-31,49193.9
2001-06-30,47929.5
2001-09-30,46878.8
2001-12-31,47181.2
2002-03-31,48589.8
2002-06-30,50000.0
2002-09-30,50040.6
2002-12-31,49966.3
2003-03-31,50602.0
2003-06-30,49921.5
2003-09-30,52758.6
2003-12-31,54270.4
2004-03-31,55875.5
2004-06-30,56744.0
2004-09-30,57157.0
2004-12-31,58475.2
2005-03-31,58907.9
2005-06-30,60391.4
2005-09-30,61871.1
2005-12-31,63863.9
2006-03-31,64987.4
2006-06-30,65714.2
2006-09-30,66961.0
2006-12-31,69557.6
2007-03-31,70566.9
2007-06-30,72209.6
2007-09-30,74131.0
2007-12-31,74448.5
2008-03-31,76343.2
2008-06-30,74425.3
2008-09-30,73948.4
2008-12-31,72247.5
2009-03-31,70353.9
2009-06-30,73327.8
2009-09-30,76172.4
2009-12-31,77291.7
2010-03-31,81783.9
2010-06-30,86693.4
2010-09-30,84281.7
2010-12-31,87552.2
2011-03-31,89201.9
2011-06-30,88982.1
2011-09-30,91291.5
2011-12-31,91869.3
2012-03-31,93558.4
2012-06-30,94392.0
2012-09-30,93475.3
2012-12-31,95912.3
2013-03-31,96804.7
2013-06-30,98774.0
2013-09-30,99449.8
2013-12-31,100367.5
2014-03-31,101112.2
2014-06-30,102170.0
2014-09-30,103088.0
2014-12-31,104639.5
2015-03-31,104225.2
2015-06-30,105522.6
2015-09-30,106795.0
2015-12-31,106764.5
2016-03-31,107680.6
2016-06-30,108923.4
2016-09-30,110002.0
2016-12-31,111966.5
2017-03-31,112665.4
2017-06-30,113045.1
2017-09-30,115761.1
2017-12-31,116943.8
2018-03-31,117767.2
2018-06-30,118528.8
2018-09-30,119491.4
2018-12-31,118839.0
2019-03-31,119438.3
2019-06-30,120338.4
2019-09-30,120502.8
2019-12-31,120648.2
2020-03-31,120491.3
2020-06-30,106180.1
2020-09-30,115730.3
2020-12-31,119881.0
2021-03-31,125717.3
2021-06-30,125350.7
2021-09-30,126840.1
2021-12-31,129163.7
2022-03-31,130852.7
2022-06-30,131299.8
2022-09-30,132190.4
2022-12-31,132209.0
2023-03-31,131538.2
2023-06-30,132117.6
2023-09-30,133479.2
2023-12-31,135048.8
2024-03-31,135119.0
