date,value
1975-03-31,6883.9
1975-06-30,7016.0
1975-09-30,7154.0
1975-12-31,7244.7
1976-03-31,7464.3
1976-06-30,7532.8
1976-09-30,7692.4
1976-12-31,7755.5
1977-03-31,7935.5
1977-06-30,8090.6
1977-09-30,8171.9
1977-12-31,8318.4
1978-03-31,8375.1
1978-06-30,8581.8
1978-09-30,8919.7
1978-12-31,9172.9
1979-03-31,9193.7
1979-06-30,9481.8
1979-09-30,9645.9
1979-12-31,10039.8
1980-03-31,10209.6
1980-06-30,10438.4
1980-09-30,10661.9
1980-12-31,10941.7
1981-03-31,11272.0
1981-06-30,11635.5
1981-09-30,11873.7
1981-12-31,12112.6
1982-03-31,12283.4
1982-06-30,12457.3
1982-09-30,12659.5
1982-12-31,12830.5
1983-03-31,13169.9
1983-06-30,13448.3
1983-09-30,13756.4
1983-12-31,14159.6
1984-03-31,14605.8
1984-06-30,14788.4
1984-09-30,14976.6
1984-12-31,15038.9
1985-03-31,15186.9
1985-06-30,14783.0
1985-09-30,14608.4
1985-12-31,14465.9
1986-03-31,14598.9
1986-06-30,14792.4
1986-09-30,15013.3
1986-12-31,15412.9
1987-03-31,15794.8
1987-06-30,16284.8
1987-09-30,16810.1
1987-12-31,17315.2
1988-03-31,17570.4
1988-06-30,18232.3
1988-09-30,18731.0
1988-12-31,19142.6
1989-03-31,19182.9
1989-06-30,20297.6
1989-09-30,20578.2
1989-12-31,20835.5
1990-03-31,21739.5
1990-06-30,22048.4
1990-09-30,22375.2
1990-12-31,22799.3
1991-03-31,23378.5
1991-06-30,23630.3
1991-09-30,23963.1
1991-12-31,24226.2
1992-03-31,24580.1
1992-06-30,24905.3
1992-09-30,25579.7
1992-12-31,26329.0
1993-03-31,26850.5
1993-06-30,27987.5
1993-09-30,28514.5
1993-12-31,29556.7
1994-03-31,30574.1
1994-06-30,30988.7
1994-09-30,31888.0
1994-12-31,32328.6
1995-03-31,32057.2
1995-06-30,33285.4
1995-09-30,34650.7
1995-12-31,34939.7
1996-03-31,36071.6
1996-06-30,36059.8
1996-09-30,36080.5
1996-12-31,37180.3
1997-03-31,38168.7
1997-06-30,39381.6
1997-09-30,40174.2
1997-12-31,39834.3
1998-03-31,38739.2
1998-06-30,38683.5
1998-09-30,38327.8
1998-12-31,39039.7
1999-03-31,39712.1
1999-06-30,40686.0
1999-09-30,41367.0
1999-12-31,41624.2
2000-03-31,43060.2
2000-06-30,43859.2
2000-09-30,45385.0
2000-12-31,45778.1
2001-03-31,45428.7
2001-06-30,44356.2
2001-09-30,43298.2
2001-12-31,43533.5
2002-03-31,44983.9
2002-06-30,46183.4
2002-09-30,46360.5
2002-12-31,46217.1
2003-03-31,46841.9
2003-06-30,46090.1
2003-09-30,48833.9
2003-12-31,50188.9
2004-03-31,51536.4
2004-06-30,52528.6
2004-09-30,52850.1
2004-12-31,54076.2
2005-03-31,54444.1
2005-06-30,55924.4
2005-09-30,57285.8
2005-12-31,59127.3
2006-03-31,60105.0
2006-06-30,60843.4
2006-09-30,62026.6
2006-12-31,64470.8
2007-03-31,64989.2
2007-06-30,66460.2
2007-09-30,68387.5
2007-12-31,68899.1
2008-03-31,71175.3
2008-06-30,69292.6
2008-09-30,68833.2
2008-12-31,67399.4
2009-03-31,65599.6
2009-06-30,68267.7
2009-09-30,70814.1
2009-12-31,71981.2
2010-03-31,76282.2
2010-06-30,81182.7
2010-09-30,78820.5
2010-12-31,81912.8
2011-03-31,83753.0
2011-06-30,83493.8
2011-09-30,85695.6
2011-12-31,86466.1
2012-03-31,87768.5
2012-06-30,88852.7
2012-09-30,87850.4
2012-12-31,90222.6
2013-03-31,91381.6
2013-06-30,93210.1
2013-09-30,93959.8
2013-12-31,95045.9
2014-03-31,95821.8
2014-06-30,96748.2
2014-09-30,97629.7
2014-12-31,99047.9
2015-03-31,98552.5
2015-06-30,99589.8
2015-09-30,100711.2
2015-12-31,100217.3
2016-03-31,101071.3
2016-06-30,102011.7
2016-09-30,102874.7
2016-12-31,105052.5
2017-03-31,105316.0
2017-06-30,106076.9
2017-09-30,108534.8
2017-12-31,109196.6
2018-03-31,110427.8
2018-06-30,111073.6
2018-09-30,112253.4
2018-12-31,111923.0
2019-03-31,111934.5
2019-06-30,112922.1
2019-09-30,113309.0
2019-12-31,113107.5
2020-03-31,113446.9
2020-06-30,101741.7
2020-09-30,109061.3
2020-12-31,112572.1
2021-03-31,118377.8
2021-06-30,118356.3
2021-09-30,119922.1
2021-12-31,121967.3
2022-03-31,124142.7
2022-06-30,124408.2
2022-09-30,125415.5
2022-12-31,125546.5
2023-03-31,124757.3
2023-06-30,125245.2
2023-09-30,126460.6
2023-12-31,127978.3
2024-03-31,128298.3
