date,value
1975-03-31,41.2
1975-06-30,37.8
1975-09-30,38.3
1975-12-31,41.3
1976-03-31,41.4
1976-06-30,43.8
1976-09-30,45.6
1976-12-31,43.9
1977-03-31,55.6
1977-06-30,49.9
1977-09-30,52.7
1977-12-31,56.9
1978-03-31,59.3
1978-06-30,65.2
1978-09-30,67.4
1978-12-31,69.9
1979-03-31,72.0
1979-06-30,75.1
1979-09-30,78.9
1979-12-31,82.1
1980-03-31,87.9
1980-06-30,91.4
1980-09-30,95.3
1980-12-31,96.5
1981-03-31,105.4
1981-06-30,110.1
1981-09-30,118.1
1981-12-31,121.4
1982-03-31,129.9
1982-06-30,134.8
1982-09-30,143.1
1982-12-31,149.2
1983-03-31,154.4
1983-06-30,159.7
1983-09-30,166.7
1983-12-31,176.5
1984-03-31,174.4
1984-06-30,179.1
1984-09-30,181.3
1984-12-31,190.8
1985-03-31,188.7
1985-06-30,190.6
1985-09-30,194.8
1985-12-31,202.2
1986-03-31,204.1
1986-06-30,209.9
1986-09-30,216.3
1986-12-31,223.1
1987-03-31,227.2
1987-06-30,232.3
1987-09-30,247.7
1987-12-31,257.7
1988-03-31,273.2
1988-06-30,280.9
1988-09-30,290.9
1988-12-31,300.9
1989-03-31,304.2
1989-06-30,312.4
1989-09-30,317.5
1989-12-31,337.4
1990-03-31,346.1
1990-06-30,357.2
1990-09-30,369.7
1990-12-31,376.4
1991-03-31,393.4
1991-06-30,408.7
1991-09-30,422.2
1991-12-31,419.5
1992-03-31,458.2
1992-06-30,465.0
1992-09-30,486.6
1992-12-31,497.0
1993-03-31,521.2
1993-06-30,546.2
1993-09-30,567.5
1993-12-31,579.3
1994-03-31,599.1
1994-06-30,613.7
1994-09-30,639.5
1994-12-31,679.5
1995-03-31,687.7
1995-06-30,725.9
1995-09-30,751.9
1995-12-31,776.9
1996-03-31,793.3
1996-06-30,810.7
1996-09-30,828.6
1996-12-31,862.9
1997-03-31,917.6
1997-06-30,978.5
1997-09-30,1025.9
1997-12-31,1044.8
1998-03-31,1101.3
1998-06-30,1118.3
1998-09-30,1115.4
1998-12-31,1131.4
1999-03-31,1233.6
1999-06-30,1269.8
1999-09-30,1300.2
1999-12-31,1365.0
2000-03-31,1445.5
2000-06-30,1471.5
2000-09-30,1527.1
2000-12-31,1561.2
2001-03-31,1729.6
2001-06-30,1713.7
2001-09-30,1716.0
2001-12-31,1735.8
2002-03-31,1806.2
2002-06-30,1803.1
2002-09-30,1825.0
2002-12-31,1834.7
2003-03-31,1947.0
2003-06-30,1894.7
2003-09-30,1945.5
2003-12-31,2006.5
2004-03-31,2045.1
2004-06-30,2112.9
2004-09-30,2160.9
2004-12-31,2175.3
2005-03-31,2166.5
2005-06-30,2235.0
2005-09-30,2275.8
2005-12-31,2298.3
2006-03-31,2249.3
2006-06-30,2294.3
2006-09-30,2371.6
2006-12-31,2461.8
2007-03-31,2408.5
2007-06-30,2461.9
2007-09-30,2523.6
2007-12-31,2577.8
2008-03-31,2564.1
2008-06-30,2591.1
2008-09-30,2679.2
2008-12-31,2777.1
2009-03-31,2763.5
2009-06-30,2806.9
2009-09-30,2838.1
2009-12-31,2864.0
2010-03-31,2935.5
2010-06-30,2984.4
2010-09-30,3052.5
2010-12-31,3119.6
2011-03-31,3158.1
2011-06-30,3168.2
2011-09-30,3288.3
2011-12-31,3391.0
2012-03-31,3374.8
2012-06-30,3549.2
2012-09-30,3508.9
2012-12-31,3642.6
2013-03-31,3681.3
2013-06-30,3881.3
2013-09-30,3785.3
2013-12-31,3799.5
2014-03-31,3959.9
2014-06-30,4103.7
2014-09-30,4083.0
2014-12-31,4079.3
2015-03-31,3924.1
2015-06-30,4141.5
2015-09-30,4058.5
2015-12-31,4096.5
2016-03-31,4331.8
2016-06-30,4506.5
2016-09-30,4399.1
2016-12-31,4295.6
2017-03-31,4561.3
2017-06-30,4582.2
2017-09-30,4545.2
2017-12-31,4559.4
2018-03-31,4663.2
2018-06-30,4732.2
2018-09-30,4872.5
2018-12-31,5023.4
2019-03-31,5174.5
2019-06-30,5454.5
2019-09-30,5557.6
2019-12-31,5697.3
2020-03-31,5906.5
2020-06-30,5838.0
2020-09-30,6243.2
2020-12-31,6663.9
2021-03-31,6657.1
2021-06-30,6849.8
2021-09-30,7332.8
2021-12-31,7408.6
2022-03-31,7319.8
2022-06-30,7469.8
2022-09-30,7789.2
2022-12-31,7973.5
2023-03-31,7837.1
2023-06-30,7872.1
2023-09-30,8250.0
2023-12-31,8338.4
2024-03-31,8331.8
